GCF_016748085.1,GCF_002952675.1,GCF_002951975.1,GCF_002952595.1,GCF_001653415.1,GCF_900638475.1,GCF_016749215.1,GCF_019974055.1,GCF_013122055.1,GCF_003050665.1
GCF_016748085.1;protein_1217,GCF_002952675.1;protein_221,GCF_002951975.1;protein_220,GCF_002952595.1;protein_220,GCF_001653415.1;protein_1231,GCF_900638475.1;protein_1309,GCF_016749215.1;protein_1179,GCF_019974055.1;protein_1405,GCF_013122055.1;protein_1354,GCF_003050665.1;protein_1325
GCF_016748085.1;protein_1218,GCF_002952675.1;protein_220,GCF_002951975.1;protein_219,GCF_002952595.1;protein_219,GCF_001653415.1;protein_1232,GCF_900638475.1;protein_1310,GCF_016749215.1;protein_1180,GCF_019974055.1;protein_1406,GCF_013122055.1;protein_1355,GCF_003050665.1;protein_1324
GCF_016748085.1;protein_1219,GCF_002952675.1;protein_219,GCF_002951975.1;protein_218,GCF_002952595.1;protein_218,GCF_001653415.1;protein_1233,GCF_900638475.1;protein_1311,GCF_016749215.1;protein_1181,GCF_019974055.1;protein_1407,GCF_013122055.1;protein_1356,GCF_003050665.1;protein_1323
GCF_016748085.1;protein_122,GCF_002952675.1;protein_1317,GCF_002951975.1;protein_1313,GCF_002952595.1;protein_1312,GCF_001653415.1;protein_180,GCF_900638475.1;protein_277,GCF_016749215.1;protein_130,GCF_019974055.1;protein_311,GCF_013122055.1;protein_308,GCF_003050665.1;protein_1104
GCF_016748085.1;protein_1220,GCF_002952675.1;protein_218,GCF_002951975.1;protein_217,GCF_002952595.1;protein_217,GCF_001653415.1;protein_1234,GCF_900638475.1;protein_1312,GCF_016749215.1;protein_1182,GCF_019974055.1;protein_1408,GCF_013122055.1;protein_1357,GCF_003050665.1;protein_1322
GCF_016748085.1;protein_1221,GCF_002952675.1;protein_217,GCF_002951975.1;protein_216,GCF_002952595.1;protein_216,GCF_001653415.1;protein_1235,GCF_900638475.1;protein_1313,GCF_016749215.1;protein_1183,GCF_019974055.1;protein_1409,GCF_013122055.1;protein_1358,GCF_003050665.1;protein_1321
GCF_016748085.1;protein_1222,GCF_002952675.1;protein_216,GCF_002951975.1;protein_215,GCF_002952595.1;protein_215,GCF_001653415.1;protein_1236,GCF_900638475.1;protein_1314,GCF_016749215.1;protein_1184,GCF_019974055.1;protein_1410,GCF_013122055.1;protein_1359,GCF_003050665.1;protein_1320
GCF_016748085.1;protein_1223,GCF_002952675.1;protein_215,GCF_002951975.1;protein_214,GCF_002952595.1;protein_214,GCF_001653415.1;protein_1237,GCF_900638475.1;protein_1315,GCF_016749215.1;protein_1185,GCF_019974055.1;protein_1411,GCF_013122055.1;protein_1360,GCF_003050665.1;protein_1319
GCF_016748085.1;protein_1224,GCF_002952675.1;protein_214,GCF_002951975.1;protein_213,GCF_002952595.1;protein_213,GCF_001653415.1;protein_1238,GCF_900638475.1;protein_1316,GCF_016749215.1;protein_1186,GCF_019974055.1;protein_1412,GCF_013122055.1;protein_1361,GCF_003050665.1;protein_1318
GCF_016748085.1;protein_1225,GCF_002952675.1;protein_213,GCF_002951975.1;protein_212,GCF_002952595.1;protein_212,GCF_001653415.1;protein_1239,GCF_900638475.1;protein_1317,GCF_016749215.1;protein_1187,GCF_019974055.1;protein_1413,GCF_013122055.1;protein_1362,GCF_003050665.1;protein_1317
GCF_016748085.1;protein_1226,GCF_002952675.1;protein_212,GCF_002951975.1;protein_211,GCF_002952595.1;protein_211,GCF_001653415.1;protein_1240,GCF_900638475.1;protein_1318,GCF_016749215.1;protein_1188,GCF_019974055.1;protein_1414,GCF_013122055.1;protein_1363,GCF_003050665.1;protein_1316
GCF_016748085.1;protein_1227,GCF_002952675.1;protein_211,GCF_002951975.1;protein_210,GCF_002952595.1;protein_210,GCF_001653415.1;protein_1241,GCF_900638475.1;protein_1319,GCF_016749215.1;protein_1189,GCF_019974055.1;protein_1415,GCF_013122055.1;protein_1364,GCF_003050665.1;protein_1315
GCF_016748085.1;protein_1228,GCF_002952675.1;protein_210,GCF_002951975.1;protein_209,GCF_002952595.1;protein_209,GCF_001653415.1;protein_1242,GCF_900638475.1;protein_1320,GCF_016749215.1;protein_1190,GCF_019974055.1;protein_1416,GCF_013122055.1;protein_1365,GCF_003050665.1;protein_1314
GCF_016748085.1;protein_1229,GCF_002952675.1;protein_209,GCF_002951975.1;protein_208,GCF_002952595.1;protein_208,GCF_001653415.1;protein_1243,GCF_900638475.1;protein_1321,GCF_016749215.1;protein_1191,GCF_019974055.1;protein_1417,GCF_013122055.1;protein_1366,GCF_003050665.1;protein_1313
GCF_016748085.1;protein_123,GCF_002952675.1;protein_1316,GCF_002951975.1;protein_1312,GCF_002952595.1;protein_1311,GCF_001653415.1;protein_181,GCF_900638475.1;protein_278,GCF_016749215.1;protein_131,GCF_019974055.1;protein_312,GCF_013122055.1;protein_309,GCF_003050665.1;protein_1105
GCF_016748085.1;protein_1230,GCF_002952675.1;protein_208,GCF_002951975.1;protein_207,GCF_002952595.1;protein_207,GCF_001653415.1;protein_1244,GCF_900638475.1;protein_1322,GCF_016749215.1;protein_1192,GCF_019974055.1;protein_1418,GCF_013122055.1;protein_1367,GCF_003050665.1;protein_1312
GCF_016748085.1;protein_1231,GCF_002952675.1;protein_207,GCF_002951975.1;protein_206,GCF_002952595.1;protein_206,GCF_001653415.1;protein_1245,GCF_900638475.1;protein_1323,GCF_016749215.1;protein_1193,GCF_019974055.1;protein_1419,GCF_013122055.1;protein_1368,GCF_003050665.1;protein_1311
GCF_016748085.1;protein_1232,GCF_002952675.1;protein_206,GCF_002951975.1;protein_205,GCF_002952595.1;protein_205,GCF_001653415.1;protein_1246,GCF_900638475.1;protein_1324,GCF_016749215.1;protein_1194,GCF_019974055.1;protein_1420,GCF_013122055.1;protein_1369,GCF_003050665.1;protein_1310
GCF_016748085.1;protein_1233,GCF_002952675.1;protein_205,GCF_002951975.1;protein_204,GCF_002952595.1;protein_204,GCF_001653415.1;protein_1247,GCF_900638475.1;protein_1325,GCF_016749215.1;protein_1195,GCF_019974055.1;protein_1421,GCF_013122055.1;protein_1370,GCF_003050665.1;protein_1309
GCF_016748085.1;protein_1234,GCF_002952675.1;protein_204,GCF_002951975.1;protein_203,GCF_002952595.1;protein_203,GCF_001653415.1;protein_1248,GCF_900638475.1;protein_1326,GCF_016749215.1;protein_1196,GCF_019974055.1;protein_1422,GCF_013122055.1;protein_1371,GCF_003050665.1;protein_1308
GCF_016748085.1;protein_1235,GCF_002952675.1;protein_203,GCF_002951975.1;protein_202,GCF_002952595.1;protein_202,GCF_001653415.1;protein_1249,GCF_900638475.1;protein_1327,GCF_016749215.1;protein_1197,GCF_019974055.1;protein_1423,GCF_013122055.1;protein_1372,GCF_003050665.1;protein_1307
GCF_016748085.1;protein_1236,GCF_002952675.1;protein_202,GCF_002951975.1;protein_201,GCF_002952595.1;protein_201,GCF_001653415.1;protein_1250,GCF_900638475.1;protein_1328,GCF_016749215.1;protein_1198,GCF_019974055.1;protein_1424,GCF_013122055.1;protein_1373,GCF_003050665.1;protein_1306
GCF_016748085.1;protein_1237,GCF_002952675.1;protein_201,GCF_002951975.1;protein_200,GCF_002952595.1;protein_200,GCF_001653415.1;protein_1251,GCF_900638475.1;protein_1329,GCF_016749215.1;protein_1199,GCF_019974055.1;protein_1425,GCF_013122055.1;protein_1374,GCF_003050665.1;protein_1305
GCF_016748085.1;protein_1238,GCF_002952675.1;protein_200,GCF_002951975.1;protein_199,GCF_002952595.1;protein_199,GCF_001653415.1;protein_1252,GCF_900638475.1;protein_1330,GCF_016749215.1;protein_1200,GCF_019974055.1;protein_1426,GCF_013122055.1;protein_1375,GCF_003050665.1;protein_1304
GCF_016748085.1;protein_1239,GCF_002952675.1;protein_199,GCF_002951975.1;protein_198,GCF_002952595.1;protein_198,GCF_001653415.1;protein_1253,GCF_900638475.1;protein_1331,GCF_016749215.1;protein_1201,GCF_019974055.1;protein_1427,GCF_013122055.1;protein_1376,GCF_003050665.1;protein_1303
GCF_016748085.1;protein_124,GCF_002952675.1;protein_1315,GCF_002951975.1;protein_1311,GCF_002952595.1;protein_1310,GCF_001653415.1;protein_182,GCF_900638475.1;protein_279,GCF_016749215.1;protein_132,GCF_019974055.1;protein_313,GCF_013122055.1;protein_310,GCF_003050665.1;protein_1106
GCF_016748085.1;protein_1240,GCF_002952675.1;protein_198,GCF_002951975.1;protein_197,GCF_002952595.1;protein_197,GCF_001653415.1;protein_1254,GCF_900638475.1;protein_1332,GCF_016749215.1;protein_1202,GCF_019974055.1;protein_1428,GCF_013122055.1;protein_1377,GCF_003050665.1;protein_1302
GCF_016748085.1;protein_1241,GCF_002952675.1;protein_197,GCF_002951975.1;protein_196,GCF_002952595.1;protein_196,GCF_001653415.1;protein_1255,GCF_900638475.1;protein_1333,GCF_016749215.1;protein_1203,GCF_019974055.1;protein_1429,GCF_013122055.1;protein_1378,GCF_003050665.1;protein_1301
GCF_016748085.1;protein_1242,GCF_002952675.1;protein_196,GCF_002951975.1;protein_195,GCF_002952595.1;protein_195,GCF_001653415.1;protein_1256,GCF_900638475.1;protein_1334,GCF_016749215.1;protein_1204,GCF_019974055.1;protein_1430,GCF_013122055.1;protein_1379,GCF_003050665.1;protein_1300
GCF_016748085.1;protein_1243,GCF_002952675.1;protein_195,GCF_002951975.1;protein_194,GCF_002952595.1;protein_194,GCF_001653415.1;protein_1257,GCF_900638475.1;protein_1335,GCF_016749215.1;protein_1205,GCF_019974055.1;protein_1431,GCF_013122055.1;protein_1380,GCF_003050665.1;protein_1299
GCF_016748085.1;protein_1244,GCF_002952675.1;protein_194,GCF_002951975.1;protein_193,GCF_002952595.1;protein_193,GCF_001653415.1;protein_1258,GCF_900638475.1;protein_1336,GCF_016749215.1;protein_1206,GCF_019974055.1;protein_1432,GCF_013122055.1;protein_1381,GCF_003050665.1;protein_1298
GCF_016748085.1;protein_1245,GCF_002952675.1;protein_193,GCF_002951975.1;protein_192,GCF_002952595.1;protein_192,GCF_001653415.1;protein_1259,GCF_900638475.1;protein_1337,GCF_016749215.1;protein_1207,GCF_019974055.1;protein_1433,GCF_013122055.1;protein_1382,GCF_003050665.1;protein_1297
GCF_016748085.1;protein_1246,GCF_002952675.1;protein_192,GCF_002951975.1;protein_191,GCF_002952595.1;protein_191,GCF_001653415.1;protein_1260,GCF_900638475.1;protein_1338,GCF_016749215.1;protein_1208,GCF_019974055.1;protein_1434,GCF_013122055.1;protein_1383,GCF_003050665.1;protein_1296
GCF_016748085.1;protein_1247,GCF_002952675.1;protein_191,GCF_002951975.1;protein_190,GCF_002952595.1;protein_190,GCF_001653415.1;protein_1261,GCF_900638475.1;protein_1339,GCF_016749215.1;protein_1209,GCF_019974055.1;protein_1435,GCF_013122055.1;protein_1384,GCF_003050665.1;protein_1295
GCF_016748085.1;protein_1248,GCF_002952675.1;protein_190,GCF_002951975.1;protein_189,GCF_002952595.1;protein_189,GCF_001653415.1;protein_1262,GCF_900638475.1;protein_1340,GCF_016749215.1;protein_1210,GCF_019974055.1;protein_1436,GCF_013122055.1;protein_1385,GCF_003050665.1;protein_1294
GCF_016748085.1;protein_125,GCF_002952675.1;protein_1314,GCF_002951975.1;protein_1310,GCF_002952595.1;protein_1309,GCF_001653415.1;protein_183,GCF_900638475.1;protein_280,GCF_016749215.1;protein_133,GCF_019974055.1;protein_314,GCF_013122055.1;protein_311,GCF_003050665.1;protein_1107
GCF_016748085.1;protein_1250,GCF_002952675.1;protein_188,GCF_002951975.1;protein_187,GCF_002952595.1;protein_187,GCF_001653415.1;protein_1265,GCF_900638475.1;protein_1357,GCF_016749215.1;protein_1213,GCF_019974055.1;protein_1452,GCF_013122055.1;protein_1390,GCF_003050665.1;protein_1277
GCF_016748085.1;protein_1251,GCF_002952675.1;protein_187,GCF_002951975.1;protein_186,GCF_002952595.1;protein_186,GCF_001653415.1;protein_1266,GCF_900638475.1;protein_1356,GCF_016749215.1;protein_1214,GCF_019974055.1;protein_1451,GCF_013122055.1;protein_1391,GCF_003050665.1;protein_1278
GCF_016748085.1;protein_1252,GCF_002952675.1;protein_186,GCF_002951975.1;protein_185,GCF_002952595.1;protein_185,GCF_001653415.1;protein_1267,GCF_900638475.1;protein_1355,GCF_016749215.1;protein_1215,GCF_019974055.1;protein_1450,GCF_013122055.1;protein_1392,GCF_003050665.1;protein_1279
GCF_016748085.1;protein_1253,GCF_002952675.1;protein_185,GCF_002951975.1;protein_184,GCF_002952595.1;protein_184,GCF_001653415.1;protein_1268,GCF_900638475.1;protein_1354,GCF_016749215.1;protein_1216,GCF_019974055.1;protein_1449,GCF_013122055.1;protein_1393,GCF_003050665.1;protein_1280
GCF_016748085.1;protein_1254,GCF_002952675.1;protein_184,GCF_002951975.1;protein_183,GCF_002952595.1;protein_183,GCF_001653415.1;protein_1269,GCF_900638475.1;protein_1353,GCF_016749215.1;protein_1217,GCF_019974055.1;protein_1448,GCF_013122055.1;protein_1394,GCF_003050665.1;protein_1281
GCF_016748085.1;protein_1255,GCF_002952675.1;protein_183,GCF_002951975.1;protein_182,GCF_002952595.1;protein_182,GCF_001653415.1;protein_1270,GCF_900638475.1;protein_1352,GCF_016749215.1;protein_1218,GCF_019974055.1;protein_1447,GCF_013122055.1;protein_1395,GCF_003050665.1;protein_1282
GCF_016748085.1;protein_1256,GCF_002952675.1;protein_182,GCF_002951975.1;protein_181,GCF_002952595.1;protein_181,GCF_001653415.1;protein_1271,GCF_900638475.1;protein_1350,GCF_016749215.1;protein_1220,GCF_019974055.1;protein_1446,GCF_013122055.1;protein_1398,GCF_003050665.1;protein_1283
GCF_016748085.1;protein_1257,GCF_002952675.1;protein_181,GCF_002951975.1;protein_180,GCF_002952595.1;protein_180,GCF_001653415.1;protein_1272,GCF_900638475.1;protein_1349,GCF_016749215.1;protein_1221,GCF_019974055.1;protein_1445,GCF_013122055.1;protein_1399,GCF_003050665.1;protein_1284
GCF_016748085.1;protein_1258,GCF_002952675.1;protein_180,GCF_002951975.1;protein_179,GCF_002952595.1;protein_179,GCF_001653415.1;protein_1273,GCF_900638475.1;protein_1348,GCF_016749215.1;protein_1222,GCF_019974055.1;protein_1444,GCF_013122055.1;protein_1400,GCF_003050665.1;protein_1285
GCF_016748085.1;protein_1259,GCF_002952675.1;protein_179,GCF_002951975.1;protein_178,GCF_002952595.1;protein_178,GCF_001653415.1;protein_1274,GCF_900638475.1;protein_1347,GCF_016749215.1;protein_1223,GCF_019974055.1;protein_1443,GCF_013122055.1;protein_1401,GCF_003050665.1;protein_1286
GCF_016748085.1;protein_126,GCF_002952675.1;protein_1313,GCF_002951975.1;protein_1309,GCF_002952595.1;protein_1308,GCF_001653415.1;protein_184,GCF_900638475.1;protein_281,GCF_016749215.1;protein_134,GCF_019974055.1;protein_315,GCF_013122055.1;protein_312,GCF_003050665.1;protein_1108
GCF_016748085.1;protein_1260,GCF_002952675.1;protein_176,GCF_002951975.1;protein_175,GCF_002952595.1;protein_175,GCF_001653415.1;protein_1277,GCF_900638475.1;protein_1344,GCF_016749215.1;protein_1226,GCF_019974055.1;protein_1440,GCF_013122055.1;protein_1404,GCF_003050665.1;protein_1289
GCF_016748085.1;protein_1261,GCF_002952675.1;protein_175,GCF_002951975.1;protein_174,GCF_002952595.1;protein_174,GCF_001653415.1;protein_1278,GCF_900638475.1;protein_1343,GCF_016749215.1;protein_1227,GCF_019974055.1;protein_1439,GCF_013122055.1;protein_1405,GCF_003050665.1;protein_1290
GCF_016748085.1;protein_1263,GCF_002952675.1;protein_174,GCF_002951975.1;protein_173,GCF_002952595.1;protein_173,GCF_001653415.1;protein_1279,GCF_900638475.1;protein_1359,GCF_016749215.1;protein_1228,GCF_019974055.1;protein_1454,GCF_013122055.1;protein_1406,GCF_003050665.1;protein_1275
GCF_016748085.1;protein_1264,GCF_002952675.1;protein_173,GCF_002951975.1;protein_172,GCF_002952595.1;protein_172,GCF_001653415.1;protein_1280,GCF_900638475.1;protein_1360,GCF_016749215.1;protein_1229,GCF_019974055.1;protein_1455,GCF_013122055.1;protein_1407,GCF_003050665.1;protein_1274
GCF_016748085.1;protein_1265,GCF_002952675.1;protein_172,GCF_002951975.1;protein_171,GCF_002952595.1;protein_171,GCF_001653415.1;protein_1281,GCF_900638475.1;protein_1361,GCF_016749215.1;protein_1230,GCF_019974055.1;protein_1456,GCF_013122055.1;protein_1408,GCF_003050665.1;protein_1273
GCF_016748085.1;protein_1266,GCF_002952675.1;protein_171,GCF_002951975.1;protein_170,GCF_002952595.1;protein_170,GCF_001653415.1;protein_1282,GCF_900638475.1;protein_1362,GCF_016749215.1;protein_1231,GCF_019974055.1;protein_1457,GCF_013122055.1;protein_1409,GCF_003050665.1;protein_1272
GCF_016748085.1;protein_1267,GCF_002952675.1;protein_170,GCF_002951975.1;protein_169,GCF_002952595.1;protein_169,GCF_001653415.1;protein_1283,GCF_900638475.1;protein_1363,GCF_016749215.1;protein_1232,GCF_019974055.1;protein_1458,GCF_013122055.1;protein_1410,GCF_003050665.1;protein_1271
GCF_016748085.1;protein_1268,GCF_002952675.1;protein_169,GCF_002951975.1;protein_168,GCF_002952595.1;protein_168,GCF_001653415.1;protein_1284,GCF_900638475.1;protein_1364,GCF_016749215.1;protein_1233,GCF_019974055.1;protein_1459,GCF_013122055.1;protein_1411,GCF_003050665.1;protein_1270
GCF_016748085.1;protein_1269,GCF_002952675.1;protein_168,GCF_002951975.1;protein_167,GCF_002952595.1;protein_167,GCF_001653415.1;protein_1285,GCF_900638475.1;protein_1365,GCF_016749215.1;protein_1234,GCF_019974055.1;protein_1460,GCF_013122055.1;protein_1412,GCF_003050665.1;protein_1269
GCF_016748085.1;protein_127,GCF_002952675.1;protein_1312,GCF_002951975.1;protein_1308,GCF_002952595.1;protein_1307,GCF_001653415.1;protein_185,GCF_900638475.1;protein_282,GCF_016749215.1;protein_135,GCF_019974055.1;protein_316,GCF_013122055.1;protein_313,GCF_003050665.1;protein_1109
GCF_016748085.1;protein_1270,GCF_002952675.1;protein_167,GCF_002951975.1;protein_166,GCF_002952595.1;protein_166,GCF_001653415.1;protein_1286,GCF_900638475.1;protein_1366,GCF_016749215.1;protein_1235,GCF_019974055.1;protein_1461,GCF_013122055.1;protein_1413,GCF_003050665.1;protein_1268
GCF_016748085.1;protein_1271,GCF_002952675.1;protein_166,GCF_002951975.1;protein_165,GCF_002952595.1;protein_165,GCF_001653415.1;protein_1287,GCF_900638475.1;protein_1367,GCF_016749215.1;protein_1236,GCF_019974055.1;protein_1462,GCF_013122055.1;protein_1414,GCF_003050665.1;protein_1267
GCF_016748085.1;protein_1272,GCF_002952675.1;protein_165,GCF_002951975.1;protein_164,GCF_002952595.1;protein_164,GCF_001653415.1;protein_1288,GCF_900638475.1;protein_1368,GCF_016749215.1;protein_1237,GCF_019974055.1;protein_1463,GCF_013122055.1;protein_1415,GCF_003050665.1;protein_1266
GCF_016748085.1;protein_1273,GCF_002952675.1;protein_164,GCF_002951975.1;protein_163,GCF_002952595.1;protein_163,GCF_001653415.1;protein_1289,GCF_900638475.1;protein_1369,GCF_016749215.1;protein_1238,GCF_019974055.1;protein_1464,GCF_013122055.1;protein_1416,GCF_003050665.1;protein_1265
GCF_016748085.1;protein_1274,GCF_002952675.1;protein_163,GCF_002951975.1;protein_162,GCF_002952595.1;protein_162,GCF_001653415.1;protein_1290,GCF_900638475.1;protein_1370,GCF_016749215.1;protein_1239,GCF_019974055.1;protein_1465,GCF_013122055.1;protein_1417,GCF_003050665.1;protein_1264
GCF_016748085.1;protein_1275,GCF_002952675.1;protein_162,GCF_002951975.1;protein_161,GCF_002952595.1;protein_161,GCF_001653415.1;protein_1291,GCF_900638475.1;protein_1371,GCF_016749215.1;protein_1240,GCF_019974055.1;protein_1466,GCF_013122055.1;protein_1418,GCF_003050665.1;protein_1263
GCF_016748085.1;protein_1276,GCF_002952675.1;protein_161,GCF_002951975.1;protein_160,GCF_002952595.1;protein_160,GCF_001653415.1;protein_1292,GCF_900638475.1;protein_1372,GCF_016749215.1;protein_1241,GCF_019974055.1;protein_1467,GCF_013122055.1;protein_1419,GCF_003050665.1;protein_1262
GCF_016748085.1;protein_1277,GCF_002952675.1;protein_160,GCF_002951975.1;protein_159,GCF_002952595.1;protein_159,GCF_001653415.1;protein_1293,GCF_900638475.1;protein_1373,GCF_016749215.1;protein_1242,GCF_019974055.1;protein_1468,GCF_013122055.1;protein_1420,GCF_003050665.1;protein_1261
GCF_016748085.1;protein_1278,GCF_002952675.1;protein_159,GCF_002951975.1;protein_158,GCF_002952595.1;protein_158,GCF_001653415.1;protein_1294,GCF_900638475.1;protein_1374,GCF_016749215.1;protein_1243,GCF_019974055.1;protein_1469,GCF_013122055.1;protein_1421,GCF_003050665.1;protein_1260
GCF_016748085.1;protein_1279,GCF_002952675.1;protein_158,GCF_002951975.1;protein_157,GCF_002952595.1;protein_157,GCF_001653415.1;protein_1295,GCF_900638475.1;protein_1375,GCF_016749215.1;protein_1244,GCF_019974055.1;protein_1470,GCF_013122055.1;protein_1422,GCF_003050665.1;protein_1259
GCF_016748085.1;protein_128,GCF_002952675.1;protein_1311,GCF_002951975.1;protein_1307,GCF_002952595.1;protein_1306,GCF_001653415.1;protein_186,GCF_900638475.1;protein_283,GCF_016749215.1;protein_136,GCF_019974055.1;protein_317,GCF_013122055.1;protein_314,GCF_003050665.1;protein_1110
GCF_016748085.1;protein_1280,GCF_002952675.1;protein_157,GCF_002951975.1;protein_156,GCF_002952595.1;protein_156,GCF_001653415.1;protein_1296,GCF_900638475.1;protein_1376,GCF_016749215.1;protein_1245,GCF_019974055.1;protein_1471,GCF_013122055.1;protein_1423,GCF_003050665.1;protein_1258
GCF_016748085.1;protein_1281,GCF_002952675.1;protein_156,GCF_002951975.1;protein_155,GCF_002952595.1;protein_155,GCF_001653415.1;protein_1297,GCF_900638475.1;protein_1377,GCF_016749215.1;protein_1246,GCF_019974055.1;protein_1472,GCF_013122055.1;protein_1424,GCF_003050665.1;protein_1257
GCF_016748085.1;protein_1282,GCF_002952675.1;protein_155,GCF_002951975.1;protein_154,GCF_002952595.1;protein_154,GCF_001653415.1;protein_1298,GCF_900638475.1;protein_1378,GCF_016749215.1;protein_1247,GCF_019974055.1;protein_1473,GCF_013122055.1;protein_1425,GCF_003050665.1;protein_1256
GCF_016748085.1;protein_1283,GCF_002952675.1;protein_154,GCF_002951975.1;protein_153,GCF_002952595.1;protein_153,GCF_001653415.1;protein_1299,GCF_900638475.1;protein_1379,GCF_016749215.1;protein_1248,GCF_019974055.1;protein_1474,GCF_013122055.1;protein_1426,GCF_003050665.1;protein_1255
GCF_016748085.1;protein_1284,GCF_002952675.1;protein_153,GCF_002951975.1;protein_152,GCF_002952595.1;protein_152,GCF_001653415.1;protein_1300,GCF_900638475.1;protein_1380,GCF_016749215.1;protein_1249,GCF_019974055.1;protein_1475,GCF_013122055.1;protein_1427,GCF_003050665.1;protein_1254
GCF_016748085.1;protein_1285,GCF_002952675.1;protein_152,GCF_002951975.1;protein_151,GCF_002952595.1;protein_151,GCF_001653415.1;protein_1301,GCF_900638475.1;protein_1381,GCF_016749215.1;protein_1250,GCF_019974055.1;protein_1476,GCF_013122055.1;protein_1428,GCF_003050665.1;protein_1253
GCF_016748085.1;protein_1286,GCF_002952675.1;protein_151,GCF_002951975.1;protein_150,GCF_002952595.1;protein_150,GCF_001653415.1;protein_1302,GCF_900638475.1;protein_1382,GCF_016749215.1;protein_1251,GCF_019974055.1;protein_1477,GCF_013122055.1;protein_1429,GCF_003050665.1;protein_1252
GCF_016748085.1;protein_1287,GCF_002952675.1;protein_150,GCF_002951975.1;protein_149,GCF_002952595.1;protein_149,GCF_001653415.1;protein_1303,GCF_900638475.1;protein_1383,GCF_016749215.1;protein_1252,GCF_019974055.1;protein_1478,GCF_013122055.1;protein_1430,GCF_003050665.1;protein_1251
GCF_016748085.1;protein_1288,GCF_002952675.1;protein_149,GCF_002951975.1;protein_148,GCF_002952595.1;protein_148,GCF_001653415.1;protein_1304,GCF_900638475.1;protein_1384,GCF_016749215.1;protein_1253,GCF_019974055.1;protein_1479,GCF_013122055.1;protein_1431,GCF_003050665.1;protein_1250
GCF_016748085.1;protein_1289,GCF_002952675.1;protein_148,GCF_002951975.1;protein_147,GCF_002952595.1;protein_147,GCF_001653415.1;protein_1305,GCF_900638475.1;protein_1385,GCF_016749215.1;protein_1254,GCF_019974055.1;protein_1480,GCF_013122055.1;protein_1432,GCF_003050665.1;protein_1249
GCF_016748085.1;protein_129,GCF_002952675.1;protein_1310,GCF_002951975.1;protein_1306,GCF_002952595.1;protein_1305,GCF_001653415.1;protein_187,GCF_900638475.1;protein_284,GCF_016749215.1;protein_137,GCF_019974055.1;protein_318,GCF_013122055.1;protein_315,GCF_003050665.1;protein_1111
GCF_016748085.1;protein_1290,GCF_002952675.1;protein_147,GCF_002951975.1;protein_146,GCF_002952595.1;protein_146,GCF_001653415.1;protein_1306,GCF_900638475.1;protein_1386,GCF_016749215.1;protein_1255,GCF_019974055.1;protein_1481,GCF_013122055.1;protein_1433,GCF_003050665.1;protein_1248
GCF_016748085.1;protein_1291,GCF_002952675.1;protein_146,GCF_002951975.1;protein_145,GCF_002952595.1;protein_145,GCF_001653415.1;protein_1307,GCF_900638475.1;protein_1387,GCF_016749215.1;protein_1256,GCF_019974055.1;protein_1482,GCF_013122055.1;protein_1434,GCF_003050665.1;protein_1247
GCF_016748085.1;protein_1292,GCF_002952675.1;protein_145,GCF_002951975.1;protein_144,GCF_002952595.1;protein_144,GCF_001653415.1;protein_1308,GCF_900638475.1;protein_1388,GCF_016749215.1;protein_1257,GCF_019974055.1;protein_1483,GCF_013122055.1;protein_1435,GCF_003050665.1;protein_1246
GCF_016748085.1;protein_1293,GCF_002952675.1;protein_144,GCF_002951975.1;protein_143,GCF_002952595.1;protein_143,GCF_001653415.1;protein_1309,GCF_900638475.1;protein_1389,GCF_016749215.1;protein_1258,GCF_019974055.1;protein_1484,GCF_013122055.1;protein_1436,GCF_003050665.1;protein_1245
GCF_016748085.1;protein_1294,GCF_002952675.1;protein_143,GCF_002951975.1;protein_142,GCF_002952595.1;protein_142,GCF_001653415.1;protein_1310,GCF_900638475.1;protein_1390,GCF_016749215.1;protein_1259,GCF_019974055.1;protein_1485,GCF_013122055.1;protein_1437,GCF_003050665.1;protein_1244
GCF_016748085.1;protein_1296,GCF_002952675.1;protein_141,GCF_002951975.1;protein_140,GCF_002952595.1;protein_140,GCF_001653415.1;protein_1312,GCF_900638475.1;protein_1392,GCF_016749215.1;protein_1261,GCF_019974055.1;protein_1487,GCF_013122055.1;protein_1439,GCF_003050665.1;protein_1242
GCF_016748085.1;protein_1297,GCF_002952675.1;protein_140,GCF_002951975.1;protein_139,GCF_002952595.1;protein_139,GCF_001653415.1;protein_1313,GCF_900638475.1;protein_1393,GCF_016749215.1;protein_1262,GCF_019974055.1;protein_1488,GCF_013122055.1;protein_1440,GCF_003050665.1;protein_1241
GCF_016748085.1;protein_1298,GCF_002952675.1;protein_139,GCF_002951975.1;protein_138,GCF_002952595.1;protein_138,GCF_001653415.1;protein_1314,GCF_900638475.1;protein_1394,GCF_016749215.1;protein_1263,GCF_019974055.1;protein_1489,GCF_013122055.1;protein_1441,GCF_003050665.1;protein_1240
GCF_016748085.1;protein_1299,GCF_002952675.1;protein_138,GCF_002951975.1;protein_137,GCF_002952595.1;protein_137,GCF_001653415.1;protein_1315,GCF_900638475.1;protein_1395,GCF_016749215.1;protein_1264,GCF_019974055.1;protein_1490,GCF_013122055.1;protein_1442,GCF_003050665.1;protein_1239
