GCF_016757555.1,GCF_900478295.1,GCF_021729605.1,GCF_017821635.1,GCF_016755675.1
GCF_016757555.1;protein_1178,GCF_900478295.1;protein_547,GCF_021729605.1;protein_1180,GCF_017821635.1;protein_1190,GCF_016755675.1;protein_1183
GCF_016757555.1;protein_1179,GCF_900478295.1;protein_546,GCF_021729605.1;protein_1181,GCF_017821635.1;protein_1191,GCF_016755675.1;protein_1184
GCF_016757555.1;protein_118,GCF_900478295.1;protein_309,GCF_021729605.1;protein_115,GCF_017821635.1;protein_121,GCF_016755675.1;protein_117
GCF_016757555.1;protein_1180,GCF_900478295.1;protein_545,GCF_021729605.1;protein_1182,GCF_017821635.1;protein_1192,GCF_016755675.1;protein_1185
GCF_016757555.1;protein_1181,GCF_900478295.1;protein_544,GCF_021729605.1;protein_1183,GCF_017821635.1;protein_1193,GCF_016755675.1;protein_1186
GCF_016757555.1;protein_1182,GCF_900478295.1;protein_543,GCF_021729605.1;protein_1184,GCF_017821635.1;protein_1194,GCF_016755675.1;protein_1187
GCF_016757555.1;protein_1184,GCF_900478295.1;protein_540,GCF_021729605.1;protein_1187,GCF_017821635.1;protein_1197,GCF_016755675.1;protein_1189
GCF_016757555.1;protein_1185,GCF_900478295.1;protein_539,GCF_021729605.1;protein_1188,GCF_017821635.1;protein_1198,GCF_016755675.1;protein_1190
GCF_016757555.1;protein_1186,GCF_900478295.1;protein_538,GCF_021729605.1;protein_1189,GCF_017821635.1;protein_1199,GCF_016755675.1;protein_1191
GCF_016757555.1;protein_1187,GCF_900478295.1;protein_1073,GCF_021729605.1;protein_325,GCF_017821635.1;protein_1200,GCF_016755675.1;protein_1192
GCF_016757555.1;protein_1188,GCF_900478295.1;protein_536,GCF_021729605.1;protein_1193,GCF_017821635.1;protein_1201,GCF_016755675.1;protein_1193
GCF_016757555.1;protein_1189,GCF_900478295.1;protein_535,GCF_021729605.1;protein_1194,GCF_017821635.1;protein_1202,GCF_016755675.1;protein_1194
GCF_016757555.1;protein_119,GCF_900478295.1;protein_311,GCF_021729605.1;protein_116,GCF_017821635.1;protein_122,GCF_016755675.1;protein_118
GCF_016757555.1;protein_1190,GCF_900478295.1;protein_534,GCF_021729605.1;protein_1195,GCF_017821635.1;protein_1203,GCF_016755675.1;protein_1195
GCF_016757555.1;protein_1191,GCF_900478295.1;protein_533,GCF_021729605.1;protein_1196,GCF_017821635.1;protein_1204,GCF_016755675.1;protein_1196
GCF_016757555.1;protein_1192,GCF_900478295.1;protein_532,GCF_021729605.1;protein_1197,GCF_017821635.1;protein_1205,GCF_016755675.1;protein_1197
GCF_016757555.1;protein_1193,GCF_900478295.1;protein_531,GCF_021729605.1;protein_1198,GCF_017821635.1;protein_1206,GCF_016755675.1;protein_1198
GCF_016757555.1;protein_1194,GCF_900478295.1;protein_530,GCF_021729605.1;protein_1199,GCF_017821635.1;protein_1207,GCF_016755675.1;protein_1199
GCF_016757555.1;protein_1195,GCF_900478295.1;protein_529,GCF_021729605.1;protein_1200,GCF_017821635.1;protein_1208,GCF_016755675.1;protein_1200
GCF_016757555.1;protein_1196,GCF_900478295.1;protein_528,GCF_021729605.1;protein_1201,GCF_017821635.1;protein_1209,GCF_016755675.1;protein_1201
GCF_016757555.1;protein_1197,GCF_900478295.1;protein_527,GCF_021729605.1;protein_1202,GCF_017821635.1;protein_1210,GCF_016755675.1;protein_1202
GCF_016757555.1;protein_1198,GCF_900478295.1;protein_526,GCF_021729605.1;protein_1203,GCF_017821635.1;protein_1211,GCF_016755675.1;protein_1203
GCF_016757555.1;protein_1199,GCF_900478295.1;protein_525,GCF_021729605.1;protein_1204,GCF_017821635.1;protein_1212,GCF_016755675.1;protein_1204
GCF_016757555.1;protein_12,GCF_900478295.1;protein_199,GCF_021729605.1;protein_12,GCF_017821635.1;protein_12,GCF_016755675.1;protein_11
GCF_016757555.1;protein_120,GCF_900478295.1;protein_312,GCF_021729605.1;protein_117,GCF_017821635.1;protein_123,GCF_016755675.1;protein_119
GCF_016757555.1;protein_1200,GCF_900478295.1;protein_524,GCF_021729605.1;protein_1205,GCF_017821635.1;protein_1213,GCF_016755675.1;protein_1205
GCF_016757555.1;protein_1201,GCF_900478295.1;protein_523,GCF_021729605.1;protein_1206,GCF_017821635.1;protein_1214,GCF_016755675.1;protein_1206
GCF_016757555.1;protein_1202,GCF_900478295.1;protein_522,GCF_021729605.1;protein_1207,GCF_017821635.1;protein_1215,GCF_016755675.1;protein_1207
GCF_016757555.1;protein_1203,GCF_900478295.1;protein_521,GCF_021729605.1;protein_1208,GCF_017821635.1;protein_1216,GCF_016755675.1;protein_1208
GCF_016757555.1;protein_1204,GCF_900478295.1;protein_520,GCF_021729605.1;protein_1209,GCF_017821635.1;protein_1217,GCF_016755675.1;protein_1209
GCF_016757555.1;protein_1205,GCF_900478295.1;protein_519,GCF_021729605.1;protein_1210,GCF_017821635.1;protein_1218,GCF_016755675.1;protein_1210
GCF_016757555.1;protein_1206,GCF_900478295.1;protein_518,GCF_021729605.1;protein_1211,GCF_017821635.1;protein_1219,GCF_016755675.1;protein_1211
GCF_016757555.1;protein_1207,GCF_900478295.1;protein_517,GCF_021729605.1;protein_1212,GCF_017821635.1;protein_1220,GCF_016755675.1;protein_1212
GCF_016757555.1;protein_1208,GCF_900478295.1;protein_516,GCF_021729605.1;protein_1213,GCF_017821635.1;protein_1221,GCF_016755675.1;protein_1213
GCF_016757555.1;protein_1209,GCF_900478295.1;protein_515,GCF_021729605.1;protein_1214,GCF_017821635.1;protein_1222,GCF_016755675.1;protein_1214
GCF_016757555.1;protein_1211,GCF_900478295.1;protein_513,GCF_021729605.1;protein_1216,GCF_017821635.1;protein_1224,GCF_016755675.1;protein_1216
GCF_016757555.1;protein_1212,GCF_900478295.1;protein_512,GCF_021729605.1;protein_1217,GCF_017821635.1;protein_1225,GCF_016755675.1;protein_1217
GCF_016757555.1;protein_1213,GCF_900478295.1;protein_511,GCF_021729605.1;protein_1218,GCF_017821635.1;protein_1226,GCF_016755675.1;protein_1218
GCF_016757555.1;protein_1214,GCF_900478295.1;protein_510,GCF_021729605.1;protein_1219,GCF_017821635.1;protein_1227,GCF_016755675.1;protein_1219
GCF_016757555.1;protein_1215,GCF_900478295.1;protein_509,GCF_021729605.1;protein_1220,GCF_017821635.1;protein_1228,GCF_016755675.1;protein_1220
GCF_016757555.1;protein_1216,GCF_900478295.1;protein_508,GCF_021729605.1;protein_1221,GCF_017821635.1;protein_1229,GCF_016755675.1;protein_1221
GCF_016757555.1;protein_1217,GCF_900478295.1;protein_507,GCF_021729605.1;protein_1222,GCF_017821635.1;protein_1230,GCF_016755675.1;protein_1222
GCF_016757555.1;protein_1218,GCF_900478295.1;protein_506,GCF_021729605.1;protein_1223,GCF_017821635.1;protein_1231,GCF_016755675.1;protein_1223
GCF_016757555.1;protein_1219,GCF_900478295.1;protein_505,GCF_021729605.1;protein_1224,GCF_017821635.1;protein_1232,GCF_016755675.1;protein_1224
GCF_016757555.1;protein_122,GCF_900478295.1;protein_313,GCF_021729605.1;protein_118,GCF_017821635.1;protein_124,GCF_016755675.1;protein_121
GCF_016757555.1;protein_1221,GCF_900478295.1;protein_488,GCF_021729605.1;protein_1226,GCF_017821635.1;protein_1237,GCF_016755675.1;protein_1226
GCF_016757555.1;protein_1222,GCF_900478295.1;protein_489,GCF_021729605.1;protein_1227,GCF_017821635.1;protein_1238,GCF_016755675.1;protein_1227
GCF_016757555.1;protein_1223,GCF_900478295.1;protein_490,GCF_021729605.1;protein_1228,GCF_017821635.1;protein_1239,GCF_016755675.1;protein_1228
GCF_016757555.1;protein_1224,GCF_900478295.1;protein_491,GCF_021729605.1;protein_1229,GCF_017821635.1;protein_1240,GCF_016755675.1;protein_1229
GCF_016757555.1;protein_1225,GCF_900478295.1;protein_492,GCF_021729605.1;protein_1230,GCF_017821635.1;protein_1241,GCF_016755675.1;protein_1230
GCF_016757555.1;protein_1226,GCF_900478295.1;protein_493,GCF_021729605.1;protein_1231,GCF_017821635.1;protein_1242,GCF_016755675.1;protein_1231
GCF_016757555.1;protein_1227,GCF_900478295.1;protein_494,GCF_021729605.1;protein_1232,GCF_017821635.1;protein_1244,GCF_016755675.1;protein_1232
GCF_016757555.1;protein_1228,GCF_900478295.1;protein_495,GCF_021729605.1;protein_1233,GCF_017821635.1;protein_1245,GCF_016755675.1;protein_1233
GCF_016757555.1;protein_1229,GCF_900478295.1;protein_496,GCF_021729605.1;protein_1234,GCF_017821635.1;protein_1246,GCF_016755675.1;protein_1234
GCF_016757555.1;protein_123,GCF_900478295.1;protein_314,GCF_021729605.1;protein_119,GCF_017821635.1;protein_125,GCF_016755675.1;protein_122
GCF_016757555.1;protein_1230,GCF_900478295.1;protein_497,GCF_021729605.1;protein_1235,GCF_017821635.1;protein_1247,GCF_016755675.1;protein_1235
GCF_016757555.1;protein_1231,GCF_900478295.1;protein_500,GCF_021729605.1;protein_1236,GCF_017821635.1;protein_1250,GCF_016755675.1;protein_1238
GCF_016757555.1;protein_1232,GCF_900478295.1;protein_501,GCF_021729605.1;protein_1237,GCF_017821635.1;protein_1251,GCF_016755675.1;protein_1239
GCF_016757555.1;protein_1233,GCF_900478295.1;protein_486,GCF_021729605.1;protein_1238,GCF_017821635.1;protein_1252,GCF_016755675.1;protein_1240
GCF_016757555.1;protein_1234,GCF_900478295.1;protein_485,GCF_021729605.1;protein_1239,GCF_017821635.1;protein_1253,GCF_016755675.1;protein_1241
GCF_016757555.1;protein_1235,GCF_900478295.1;protein_484,GCF_021729605.1;protein_1240,GCF_017821635.1;protein_1254,GCF_016755675.1;protein_1242
GCF_016757555.1;protein_1236,GCF_900478295.1;protein_483,GCF_021729605.1;protein_1241,GCF_017821635.1;protein_1255,GCF_016755675.1;protein_1243
GCF_016757555.1;protein_1237,GCF_900478295.1;protein_482,GCF_021729605.1;protein_1242,GCF_017821635.1;protein_1256,GCF_016755675.1;protein_1244
GCF_016757555.1;protein_1238,GCF_900478295.1;protein_481,GCF_021729605.1;protein_1243,GCF_017821635.1;protein_1257,GCF_016755675.1;protein_1245
GCF_016757555.1;protein_1239,GCF_900478295.1;protein_480,GCF_021729605.1;protein_1244,GCF_017821635.1;protein_1258,GCF_016755675.1;protein_1246
GCF_016757555.1;protein_124,GCF_900478295.1;protein_315,GCF_021729605.1;protein_120,GCF_017821635.1;protein_126,GCF_016755675.1;protein_123
GCF_016757555.1;protein_1240,GCF_900478295.1;protein_479,GCF_021729605.1;protein_1245,GCF_017821635.1;protein_1259,GCF_016755675.1;protein_1247
GCF_016757555.1;protein_1241,GCF_900478295.1;protein_478,GCF_021729605.1;protein_1246,GCF_017821635.1;protein_1260,GCF_016755675.1;protein_1248
GCF_016757555.1;protein_1242,GCF_900478295.1;protein_477,GCF_021729605.1;protein_1247,GCF_017821635.1;protein_1261,GCF_016755675.1;protein_1249
GCF_016757555.1;protein_1243,GCF_900478295.1;protein_476,GCF_021729605.1;protein_1248,GCF_017821635.1;protein_1262,GCF_016755675.1;protein_1250
GCF_016757555.1;protein_1244,GCF_900478295.1;protein_475,GCF_021729605.1;protein_1249,GCF_017821635.1;protein_1263,GCF_016755675.1;protein_1251
GCF_016757555.1;protein_1245,GCF_900478295.1;protein_474,GCF_021729605.1;protein_1250,GCF_017821635.1;protein_1264,GCF_016755675.1;protein_1252
GCF_016757555.1;protein_1246,GCF_900478295.1;protein_473,GCF_021729605.1;protein_1251,GCF_017821635.1;protein_1265,GCF_016755675.1;protein_1253
GCF_016757555.1;protein_1247,GCF_900478295.1;protein_472,GCF_021729605.1;protein_1252,GCF_017821635.1;protein_1266,GCF_016755675.1;protein_1254
GCF_016757555.1;protein_1248,GCF_900478295.1;protein_471,GCF_021729605.1;protein_1253,GCF_017821635.1;protein_1267,GCF_016755675.1;protein_1255
GCF_016757555.1;protein_1249,GCF_900478295.1;protein_470,GCF_021729605.1;protein_1254,GCF_017821635.1;protein_1268,GCF_016755675.1;protein_1256
GCF_016757555.1;protein_125,GCF_900478295.1;protein_316,GCF_021729605.1;protein_121,GCF_017821635.1;protein_127,GCF_016755675.1;protein_124
GCF_016757555.1;protein_1250,GCF_900478295.1;protein_469,GCF_021729605.1;protein_1255,GCF_017821635.1;protein_1269,GCF_016755675.1;protein_1257
GCF_016757555.1;protein_1251,GCF_900478295.1;protein_468,GCF_021729605.1;protein_1256,GCF_017821635.1;protein_1270,GCF_016755675.1;protein_1258
GCF_016757555.1;protein_1252,GCF_900478295.1;protein_467,GCF_021729605.1;protein_1257,GCF_017821635.1;protein_1271,GCF_016755675.1;protein_1259
GCF_016757555.1;protein_1253,GCF_900478295.1;protein_466,GCF_021729605.1;protein_1258,GCF_017821635.1;protein_1272,GCF_016755675.1;protein_1260
GCF_016757555.1;protein_1254,GCF_900478295.1;protein_465,GCF_021729605.1;protein_1259,GCF_017821635.1;protein_1273,GCF_016755675.1;protein_1261
GCF_016757555.1;protein_1255,GCF_900478295.1;protein_464,GCF_021729605.1;protein_1260,GCF_017821635.1;protein_1274,GCF_016755675.1;protein_1262
GCF_016757555.1;protein_1256,GCF_900478295.1;protein_463,GCF_021729605.1;protein_1261,GCF_017821635.1;protein_1275,GCF_016755675.1;protein_1263
GCF_016757555.1;protein_1257,GCF_900478295.1;protein_462,GCF_021729605.1;protein_1262,GCF_017821635.1;protein_1276,GCF_016755675.1;protein_1264
GCF_016757555.1;protein_1258,GCF_900478295.1;protein_461,GCF_021729605.1;protein_1263,GCF_017821635.1;protein_1277,GCF_016755675.1;protein_1265
GCF_016757555.1;protein_1259,GCF_900478295.1;protein_460,GCF_021729605.1;protein_1264,GCF_017821635.1;protein_1278,GCF_016755675.1;protein_1266
GCF_016757555.1;protein_126,GCF_900478295.1;protein_317,GCF_021729605.1;protein_122,GCF_017821635.1;protein_128,GCF_016755675.1;protein_125
GCF_016757555.1;protein_1260,GCF_900478295.1;protein_459,GCF_021729605.1;protein_1265,GCF_017821635.1;protein_1279,GCF_016755675.1;protein_1267
GCF_016757555.1;protein_1261,GCF_900478295.1;protein_458,GCF_021729605.1;protein_1266,GCF_017821635.1;protein_1280,GCF_016755675.1;protein_1268
GCF_016757555.1;protein_1262,GCF_900478295.1;protein_457,GCF_021729605.1;protein_1267,GCF_017821635.1;protein_1281,GCF_016755675.1;protein_1269
GCF_016757555.1;protein_1263,GCF_900478295.1;protein_456,GCF_021729605.1;protein_1268,GCF_017821635.1;protein_1282,GCF_016755675.1;protein_1270
GCF_016757555.1;protein_1264,GCF_900478295.1;protein_455,GCF_021729605.1;protein_1269,GCF_017821635.1;protein_1283,GCF_016755675.1;protein_1271
GCF_016757555.1;protein_1266,GCF_900478295.1;protein_453,GCF_021729605.1;protein_1271,GCF_017821635.1;protein_1285,GCF_016755675.1;protein_1273
GCF_016757555.1;protein_1267,GCF_900478295.1;protein_452,GCF_021729605.1;protein_1272,GCF_017821635.1;protein_1286,GCF_016755675.1;protein_1274
GCF_016757555.1;protein_1268,GCF_900478295.1;protein_451,GCF_021729605.1;protein_1273,GCF_017821635.1;protein_1287,GCF_016755675.1;protein_1275
GCF_016757555.1;protein_1269,GCF_900478295.1;protein_450,GCF_021729605.1;protein_1274,GCF_017821635.1;protein_1288,GCF_016755675.1;protein_1276
GCF_016757555.1;protein_127,GCF_900478295.1;protein_318,GCF_021729605.1;protein_123,GCF_017821635.1;protein_129,GCF_016755675.1;protein_126
GCF_016757555.1;protein_1270,GCF_900478295.1;protein_449,GCF_021729605.1;protein_1275,GCF_017821635.1;protein_1289,GCF_016755675.1;protein_1277
GCF_016757555.1;protein_1271,GCF_900478295.1;protein_448,GCF_021729605.1;protein_1276,GCF_017821635.1;protein_1290,GCF_016755675.1;protein_1278
GCF_016757555.1;protein_1272,GCF_900478295.1;protein_447,GCF_021729605.1;protein_1277,GCF_017821635.1;protein_1291,GCF_016755675.1;protein_1279
GCF_016757555.1;protein_1273,GCF_900478295.1;protein_446,GCF_021729605.1;protein_1278,GCF_017821635.1;protein_1292,GCF_016755675.1;protein_1280
GCF_016757555.1;protein_1274,GCF_900478295.1;protein_445,GCF_021729605.1;protein_1279,GCF_017821635.1;protein_1293,GCF_016755675.1;protein_1281
GCF_016757555.1;protein_1276,GCF_900478295.1;protein_444,GCF_021729605.1;protein_1281,GCF_017821635.1;protein_1295,GCF_016755675.1;protein_1282
GCF_016757555.1;protein_1277,GCF_900478295.1;protein_443,GCF_021729605.1;protein_1282,GCF_017821635.1;protein_1296,GCF_016755675.1;protein_1283
GCF_016757555.1;protein_1278,GCF_900478295.1;protein_442,GCF_021729605.1;protein_1283,GCF_017821635.1;protein_1297,GCF_016755675.1;protein_1284
GCF_016757555.1;protein_1279,GCF_900478295.1;protein_441,GCF_021729605.1;protein_1284,GCF_017821635.1;protein_1298,GCF_016755675.1;protein_1285
GCF_016757555.1;protein_128,GCF_900478295.1;protein_319,GCF_021729605.1;protein_124,GCF_017821635.1;protein_130,GCF_016755675.1;protein_127
GCF_016757555.1;protein_1280,GCF_900478295.1;protein_440,GCF_021729605.1;protein_1285,GCF_017821635.1;protein_1299,GCF_016755675.1;protein_1286
GCF_016757555.1;protein_1281,GCF_900478295.1;protein_439,GCF_021729605.1;protein_1286,GCF_017821635.1;protein_1300,GCF_016755675.1;protein_1287
GCF_016757555.1;protein_1282,GCF_900478295.1;protein_438,GCF_021729605.1;protein_1287,GCF_017821635.1;protein_1301,GCF_016755675.1;protein_1288
GCF_016757555.1;protein_1284,GCF_900478295.1;protein_1497,GCF_021729605.1;protein_1289,GCF_017821635.1;protein_1303,GCF_016755675.1;protein_1292
GCF_016757555.1;protein_1285,GCF_900478295.1;protein_1498,GCF_021729605.1;protein_1290,GCF_017821635.1;protein_1304,GCF_016755675.1;protein_1293
GCF_016757555.1;protein_1286,GCF_900478295.1;protein_1499,GCF_021729605.1;protein_1291,GCF_017821635.1;protein_1305,GCF_016755675.1;protein_1294
GCF_016757555.1;protein_1287,GCF_900478295.1;protein_1500,GCF_021729605.1;protein_1292,GCF_017821635.1;protein_1306,GCF_016755675.1;protein_1295
GCF_016757555.1;protein_1288,GCF_900478295.1;protein_1501,GCF_021729605.1;protein_1293,GCF_017821635.1;protein_1307,GCF_016755675.1;protein_1296
GCF_016757555.1;protein_1289,GCF_900478295.1;protein_1502,GCF_021729605.1;protein_1294,GCF_017821635.1;protein_1308,GCF_016755675.1;protein_1297
GCF_016757555.1;protein_129,GCF_900478295.1;protein_320,GCF_021729605.1;protein_125,GCF_017821635.1;protein_131,GCF_016755675.1;protein_128
GCF_016757555.1;protein_1290,GCF_900478295.1;protein_1503,GCF_021729605.1;protein_1295,GCF_017821635.1;protein_1309,GCF_016755675.1;protein_1298
GCF_016757555.1;protein_1291,GCF_900478295.1;protein_1504,GCF_021729605.1;protein_1296,GCF_017821635.1;protein_1310,GCF_016755675.1;protein_1299
GCF_016757555.1;protein_1297,GCF_900478295.1;protein_1506,GCF_021729605.1;protein_1300,GCF_017821635.1;protein_1317,GCF_016755675.1;protein_1304
GCF_016757555.1;protein_1298,GCF_900478295.1;protein_1507,GCF_021729605.1;protein_1301,GCF_017821635.1;protein_1318,GCF_016755675.1;protein_1305
GCF_016757555.1;protein_1299,GCF_900478295.1;protein_1508,GCF_021729605.1;protein_1302,GCF_017821635.1;protein_1319,GCF_016755675.1;protein_1306
GCF_016757555.1;protein_13,GCF_900478295.1;protein_200,GCF_021729605.1;protein_13,GCF_017821635.1;protein_13,GCF_016755675.1;protein_12
GCF_016757555.1;protein_130,GCF_900478295.1;protein_321,GCF_021729605.1;protein_126,GCF_017821635.1;protein_132,GCF_016755675.1;protein_129
GCF_016757555.1;protein_1300,GCF_900478295.1;protein_1509,GCF_021729605.1;protein_1303,GCF_017821635.1;protein_1320,GCF_016755675.1;protein_1307
GCF_016757555.1;protein_1301,GCF_900478295.1;protein_1510,GCF_021729605.1;protein_1304,GCF_017821635.1;protein_1321,GCF_016755675.1;protein_1308
GCF_016757555.1;protein_1302,GCF_900478295.1;protein_1511,GCF_021729605.1;protein_1305,GCF_017821635.1;protein_1322,GCF_016755675.1;protein_1309
GCF_016757555.1;protein_1303,GCF_900478295.1;protein_1512,GCF_021729605.1;protein_1306,GCF_017821635.1;protein_1323,GCF_016755675.1;protein_1310
GCF_016757555.1;protein_1304,GCF_900478295.1;protein_1513,GCF_021729605.1;protein_1307,GCF_017821635.1;protein_1324,GCF_016755675.1;protein_1311
GCF_016757555.1;protein_1305,GCF_900478295.1;protein_1514,GCF_021729605.1;protein_1308,GCF_017821635.1;protein_1325,GCF_016755675.1;protein_1312
GCF_016757555.1;protein_1306,GCF_900478295.1;protein_1515,GCF_021729605.1;protein_1309,GCF_017821635.1;protein_1326,GCF_016755675.1;protein_1313
GCF_016757555.1;protein_1307,GCF_900478295.1;protein_1516,GCF_021729605.1;protein_1310,GCF_017821635.1;protein_1327,GCF_016755675.1;protein_1314
GCF_016757555.1;protein_131,GCF_900478295.1;protein_322,GCF_021729605.1;protein_127,GCF_017821635.1;protein_133,GCF_016755675.1;protein_130
GCF_016757555.1;protein_1312,GCF_900478295.1;protein_1519,GCF_021729605.1;protein_770,GCF_017821635.1;protein_1492,GCF_016755675.1;protein_1322
GCF_016757555.1;protein_1313,GCF_900478295.1;protein_1520,GCF_021729605.1;protein_1315,GCF_017821635.1;protein_1491,GCF_016755675.1;protein_1323
GCF_016757555.1;protein_1314,GCF_900478295.1;protein_1521,GCF_021729605.1;protein_1316,GCF_017821635.1;protein_1490,GCF_016755675.1;protein_1324
GCF_016757555.1;protein_1315,GCF_900478295.1;protein_1522,GCF_021729605.1;protein_1317,GCF_017821635.1;protein_1489,GCF_016755675.1;protein_1325
GCF_016757555.1;protein_1316,GCF_900478295.1;protein_1523,GCF_021729605.1;protein_1318,GCF_017821635.1;protein_1488,GCF_016755675.1;protein_1326
GCF_016757555.1;protein_1317,GCF_900478295.1;protein_1524,GCF_021729605.1;protein_1319,GCF_017821635.1;protein_1487,GCF_016755675.1;protein_1327
GCF_016757555.1;protein_1318,GCF_900478295.1;protein_1525,GCF_021729605.1;protein_1320,GCF_017821635.1;protein_1486,GCF_016755675.1;protein_1328
GCF_016757555.1;protein_1319,GCF_900478295.1;protein_1526,GCF_021729605.1;protein_1321,GCF_017821635.1;protein_1485,GCF_016755675.1;protein_1329
GCF_016757555.1;protein_132,GCF_900478295.1;protein_323,GCF_021729605.1;protein_128,GCF_017821635.1;protein_134,GCF_016755675.1;protein_131
GCF_016757555.1;protein_1321,GCF_900478295.1;protein_1527,GCF_021729605.1;protein_1323,GCF_017821635.1;protein_1483,GCF_016755675.1;protein_1330
GCF_016757555.1;protein_1322,GCF_900478295.1;protein_1528,GCF_021729605.1;protein_1324,GCF_017821635.1;protein_1482,GCF_016755675.1;protein_1331
GCF_016757555.1;protein_1323,GCF_900478295.1;protein_1529,GCF_021729605.1;protein_1325,GCF_017821635.1;protein_1481,GCF_016755675.1;protein_1332
GCF_016757555.1;protein_1324,GCF_900478295.1;protein_1530,GCF_021729605.1;protein_1326,GCF_017821635.1;protein_1480,GCF_016755675.1;protein_1333
GCF_016757555.1;protein_1326,GCF_900478295.1;protein_1534,GCF_021729605.1;protein_1328,GCF_017821635.1;protein_1478,GCF_016755675.1;protein_1335
GCF_016757555.1;protein_1327,GCF_900478295.1;protein_1535,GCF_021729605.1;protein_1329,GCF_017821635.1;protein_1477,GCF_016755675.1;protein_1337
GCF_016757555.1;protein_1328,GCF_900478295.1;protein_1536,GCF_021729605.1;protein_1330,GCF_017821635.1;protein_1476,GCF_016755675.1;protein_1338
GCF_016757555.1;protein_133,GCF_900478295.1;protein_324,GCF_021729605.1;protein_129,GCF_017821635.1;protein_135,GCF_016755675.1;protein_132
GCF_016757555.1;protein_1331,GCF_900478295.1;protein_1538,GCF_021729605.1;protein_1335,GCF_017821635.1;protein_539,GCF_016755675.1;protein_1341
GCF_016757555.1;protein_1333,GCF_900478295.1;protein_1540,GCF_021729605.1;protein_1338,GCF_017821635.1;protein_1470,GCF_016755675.1;protein_1343
GCF_016757555.1;protein_1334,GCF_900478295.1;protein_1541,GCF_021729605.1;protein_1339,GCF_017821635.1;protein_1469,GCF_016755675.1;protein_1344
GCF_016757555.1;protein_1335,GCF_900478295.1;protein_1542,GCF_021729605.1;protein_1340,GCF_017821635.1;protein_1468,GCF_016755675.1;protein_1345
GCF_016757555.1;protein_1336,GCF_900478295.1;protein_1543,GCF_021729605.1;protein_1341,GCF_017821635.1;protein_1467,GCF_016755675.1;protein_1346
GCF_016757555.1;protein_1339,GCF_900478295.1;protein_1546,GCF_021729605.1;protein_1344,GCF_017821635.1;protein_1464,GCF_016755675.1;protein_1349
GCF_016757555.1;protein_134,GCF_900478295.1;protein_325,GCF_021729605.1;protein_130,GCF_017821635.1;protein_136,GCF_016755675.1;protein_133
GCF_016757555.1;protein_1340,GCF_900478295.1;protein_1547,GCF_021729605.1;protein_1345,GCF_017821635.1;protein_1463,GCF_016755675.1;protein_1350
GCF_016757555.1;protein_1341,GCF_900478295.1;protein_1548,GCF_021729605.1;protein_1346,GCF_017821635.1;protein_1462,GCF_016755675.1;protein_1351
GCF_016757555.1;protein_1342,GCF_900478295.1;protein_1549,GCF_021729605.1;protein_1347,GCF_017821635.1;protein_1461,GCF_016755675.1;protein_1352
GCF_016757555.1;protein_1343,GCF_900478295.1;protein_1550,GCF_021729605.1;protein_1348,GCF_017821635.1;protein_1460,GCF_016755675.1;protein_1353
GCF_016757555.1;protein_1344,GCF_900478295.1;protein_1551,GCF_021729605.1;protein_1349,GCF_017821635.1;protein_1459,GCF_016755675.1;protein_1354
GCF_016757555.1;protein_1345,GCF_900478295.1;protein_1552,GCF_021729605.1;protein_1350,GCF_017821635.1;protein_1458,GCF_016755675.1;protein_1355
GCF_016757555.1;protein_1348,GCF_900478295.1;protein_1556,GCF_021729605.1;protein_1352,GCF_017821635.1;protein_1451,GCF_016755675.1;protein_1358
GCF_016757555.1;protein_1349,GCF_900478295.1;protein_1557,GCF_021729605.1;protein_1353,GCF_017821635.1;protein_1452,GCF_016755675.1;protein_1359
GCF_016757555.1;protein_135,GCF_900478295.1;protein_326,GCF_021729605.1;protein_131,GCF_017821635.1;protein_137,GCF_016755675.1;protein_134
GCF_016757555.1;protein_1350,GCF_900478295.1;protein_1558,GCF_021729605.1;protein_1354,GCF_017821635.1;protein_1453,GCF_016755675.1;protein_1360
GCF_016757555.1;protein_1351,GCF_900478295.1;protein_1559,GCF_021729605.1;protein_1355,GCF_017821635.1;protein_1454,GCF_016755675.1;protein_1361
GCF_016757555.1;protein_1354,GCF_900478295.1;protein_1563,GCF_021729605.1;protein_1358,GCF_017821635.1;protein_1447,GCF_016755675.1;protein_1364
GCF_016757555.1;protein_1355,GCF_900478295.1;protein_1564,GCF_021729605.1;protein_1359,GCF_017821635.1;protein_1446,GCF_016755675.1;protein_1365
GCF_016757555.1;protein_1356,GCF_900478295.1;protein_1565,GCF_021729605.1;protein_1360,GCF_017821635.1;protein_1445,GCF_016755675.1;protein_1366
GCF_016757555.1;protein_136,GCF_900478295.1;protein_327,GCF_021729605.1;protein_132,GCF_017821635.1;protein_138,GCF_016755675.1;protein_135
GCF_016757555.1;protein_1362,GCF_900478295.1;protein_1569,GCF_021729605.1;protein_1364,GCF_017821635.1;protein_1441,GCF_016755675.1;protein_1371
GCF_016757555.1;protein_1363,GCF_900478295.1;protein_1570,GCF_021729605.1;protein_1365,GCF_017821635.1;protein_1440,GCF_016755675.1;protein_1372
GCF_016757555.1;protein_1364,GCF_900478295.1;protein_1571,GCF_021729605.1;protein_1366,GCF_017821635.1;protein_1439,GCF_016755675.1;protein_1373
