GCF_002953555.1,GCF_010917155.1,GCF_003050665.1,GCF_019974055.1,GCF_022923035.1,GCF_022925215.1,GCF_016748795.1,GCF_017821355.1,GCF_017821275.1,GCF_003636855.2,GCF_030323385.1,GCF_002952575.1,GCF_017821635.1,GCF_006337405.1,GCF_002952635.1,GCF_001653415.1,GCF_022923775.1,GCF_017821475.1,GCF_002906535.1,GCF_051131785.1,GCF_020735805.1,GCF_013122035.1,GCF_002906555.1,GCF_030323485.1,GCF_030062605.1,GCF_022921575.1,GCF_022925945.1,GCF_017821595.1,GCF_002951975.1,GCF_006337745.1
GCF_002953555.1;protein_1424,GCF_010917155.1;protein_856,GCF_003050665.1;protein_774,GCF_019974055.1;protein_1568,GCF_022923035.1;protein_96,GCF_022925215.1;protein_80,GCF_016748795.1;protein_1360,GCF_017821355.1;protein_1446,GCF_017821275.1;protein_1438,GCF_003636855.2;protein_402,GCF_030323385.1;protein_1541,GCF_002952575.1;protein_83,GCF_017821635.1;protein_1435,GCF_006337405.1;protein_83,GCF_002952635.1;protein_83,GCF_001653415.1;protein_1461,GCF_022923775.1;protein_89,GCF_017821475.1;protein_1432,GCF_002906535.1;protein_1418,GCF_051131785.1;protein_81,GCF_020735805.1;protein_411,GCF_013122035.1;protein_1535,GCF_002906555.1;protein_1418,GCF_030323485.1;protein_15,GCF_030062605.1;protein_7,GCF_022921575.1;protein_85,GCF_022925945.1;protein_115,GCF_017821595.1;protein_1461,GCF_002951975.1;protein_83,GCF_006337745.1;protein_80
GCF_002953555.1;protein_1425,GCF_010917155.1;protein_857,GCF_003050665.1;protein_775,GCF_019974055.1;protein_1569,GCF_022923035.1;protein_95,GCF_022925215.1;protein_79,GCF_016748795.1;protein_1361,GCF_017821355.1;protein_1445,GCF_017821275.1;protein_1437,GCF_003636855.2;protein_401,GCF_030323385.1;protein_1542,GCF_002952575.1;protein_82,GCF_017821635.1;protein_1434,GCF_006337405.1;protein_82,GCF_002952635.1;protein_82,GCF_001653415.1;protein_1460,GCF_022923775.1;protein_88,GCF_017821475.1;protein_1431,GCF_002906535.1;protein_1419,GCF_051131785.1;protein_80,GCF_020735805.1;protein_412,GCF_013122035.1;protein_1536,GCF_002906555.1;protein_1419,GCF_030323485.1;protein_14,GCF_030062605.1;protein_8,GCF_022921575.1;protein_84,GCF_022925945.1;protein_114,GCF_017821595.1;protein_1460,GCF_002951975.1;protein_82,GCF_006337745.1;protein_79
GCF_002953555.1;protein_1426,GCF_010917155.1;protein_858,GCF_003050665.1;protein_776,GCF_019974055.1;protein_1570,GCF_022923035.1;protein_94,GCF_022925215.1;protein_78,GCF_016748795.1;protein_1362,GCF_017821355.1;protein_1444,GCF_017821275.1;protein_1436,GCF_003636855.2;protein_400,GCF_030323385.1;protein_1543,GCF_002952575.1;protein_81,GCF_017821635.1;protein_1433,GCF_006337405.1;protein_81,GCF_002952635.1;protein_81,GCF_001653415.1;protein_1459,GCF_022923775.1;protein_87,GCF_017821475.1;protein_1430,GCF_002906535.1;protein_1420,GCF_051131785.1;protein_79,GCF_020735805.1;protein_413,GCF_013122035.1;protein_1537,GCF_002906555.1;protein_1420,GCF_030323485.1;protein_13,GCF_030062605.1;protein_9,GCF_022921575.1;protein_83,GCF_022925945.1;protein_113,GCF_017821595.1;protein_1459,GCF_002951975.1;protein_81,GCF_006337745.1;protein_78
GCF_002953555.1;protein_1427,GCF_010917155.1;protein_859,GCF_003050665.1;protein_777,GCF_019974055.1;protein_1571,GCF_022923035.1;protein_93,GCF_022925215.1;protein_77,GCF_016748795.1;protein_1363,GCF_017821355.1;protein_1443,GCF_017821275.1;protein_1435,GCF_003636855.2;protein_399,GCF_030323385.1;protein_1544,GCF_002952575.1;protein_80,GCF_017821635.1;protein_1432,GCF_006337405.1;protein_80,GCF_002952635.1;protein_80,GCF_001653415.1;protein_1458,GCF_022923775.1;protein_86,GCF_017821475.1;protein_1429,GCF_002906535.1;protein_1421,GCF_051131785.1;protein_78,GCF_020735805.1;protein_414,GCF_013122035.1;protein_1538,GCF_002906555.1;protein_1421,GCF_030323485.1;protein_12,GCF_030062605.1;protein_10,GCF_022921575.1;protein_82,GCF_022925945.1;protein_112,GCF_017821595.1;protein_1458,GCF_002951975.1;protein_80,GCF_006337745.1;protein_77
GCF_002953555.1;protein_1428,GCF_010917155.1;protein_860,GCF_003050665.1;protein_778,GCF_019974055.1;protein_1572,GCF_022923035.1;protein_92,GCF_022925215.1;protein_76,GCF_016748795.1;protein_1364,GCF_017821355.1;protein_1442,GCF_017821275.1;protein_1434,GCF_003636855.2;protein_398,GCF_030323385.1;protein_1545,GCF_002952575.1;protein_79,GCF_017821635.1;protein_1431,GCF_006337405.1;protein_79,GCF_002952635.1;protein_79,GCF_001653415.1;protein_1457,GCF_022923775.1;protein_85,GCF_017821475.1;protein_1428,GCF_002906535.1;protein_1422,GCF_051131785.1;protein_77,GCF_020735805.1;protein_415,GCF_013122035.1;protein_1539,GCF_002906555.1;protein_1422,GCF_030323485.1;protein_11,GCF_030062605.1;protein_11,GCF_022921575.1;protein_81,GCF_022925945.1;protein_111,GCF_017821595.1;protein_1457,GCF_002951975.1;protein_79,GCF_006337745.1;protein_76
GCF_002953555.1;protein_1429,GCF_010917155.1;protein_861,GCF_003050665.1;protein_779,GCF_019974055.1;protein_1573,GCF_022923035.1;protein_91,GCF_022925215.1;protein_75,GCF_016748795.1;protein_1365,GCF_017821355.1;protein_1441,GCF_017821275.1;protein_1433,GCF_003636855.2;protein_397,GCF_030323385.1;protein_1546,GCF_002952575.1;protein_78,GCF_017821635.1;protein_1430,GCF_006337405.1;protein_78,GCF_002952635.1;protein_78,GCF_001653415.1;protein_1456,GCF_022923775.1;protein_84,GCF_017821475.1;protein_1427,GCF_002906535.1;protein_1423,GCF_051131785.1;protein_76,GCF_020735805.1;protein_416,GCF_013122035.1;protein_1540,GCF_002906555.1;protein_1423,GCF_030323485.1;protein_10,GCF_030062605.1;protein_12,GCF_022921575.1;protein_80,GCF_022925945.1;protein_110,GCF_017821595.1;protein_1456,GCF_002951975.1;protein_78,GCF_006337745.1;protein_75
GCF_002953555.1;protein_143,GCF_010917155.1;protein_77,GCF_003050665.1;protein_1120,GCF_019974055.1;protein_327,GCF_022923035.1;protein_1243,GCF_022925215.1;protein_1235,GCF_016748795.1;protein_142,GCF_017821355.1;protein_141,GCF_017821275.1;protein_140,GCF_003636855.2;protein_100,GCF_030323385.1;protein_294,GCF_002952575.1;protein_1296,GCF_017821635.1;protein_142,GCF_006337405.1;protein_1335,GCF_002952635.1;protein_1301,GCF_001653415.1;protein_196,GCF_022923775.1;protein_1302,GCF_017821475.1;protein_140,GCF_002906535.1;protein_142,GCF_051131785.1;protein_1306,GCF_020735805.1;protein_712,GCF_013122035.1;protein_322,GCF_002906555.1;protein_142,GCF_030323485.1;protein_1262,GCF_030062605.1;protein_569,GCF_022921575.1;protein_1273,GCF_022925945.1;protein_1281,GCF_017821595.1;protein_141,GCF_002951975.1;protein_1297,GCF_006337745.1;protein_1350
GCF_002953555.1;protein_1430,GCF_010917155.1;protein_862,GCF_003050665.1;protein_780,GCF_019974055.1;protein_1574,GCF_022923035.1;protein_90,GCF_022925215.1;protein_74,GCF_016748795.1;protein_1366,GCF_017821355.1;protein_1440,GCF_017821275.1;protein_1432,GCF_003636855.2;protein_396,GCF_030323385.1;protein_1547,GCF_002952575.1;protein_77,GCF_017821635.1;protein_1429,GCF_006337405.1;protein_77,GCF_002952635.1;protein_77,GCF_001653415.1;protein_1455,GCF_022923775.1;protein_83,GCF_017821475.1;protein_1426,GCF_002906535.1;protein_1424,GCF_051131785.1;protein_75,GCF_020735805.1;protein_417,GCF_013122035.1;protein_1541,GCF_002906555.1;protein_1424,GCF_030323485.1;protein_9,GCF_030062605.1;protein_13,GCF_022921575.1;protein_79,GCF_022925945.1;protein_109,GCF_017821595.1;protein_1455,GCF_002951975.1;protein_77,GCF_006337745.1;protein_74
GCF_002953555.1;protein_1431,GCF_010917155.1;protein_863,GCF_003050665.1;protein_781,GCF_019974055.1;protein_1575,GCF_022923035.1;protein_89,GCF_022925215.1;protein_73,GCF_016748795.1;protein_1367,GCF_017821355.1;protein_1439,GCF_017821275.1;protein_1431,GCF_003636855.2;protein_395,GCF_030323385.1;protein_1548,GCF_002952575.1;protein_76,GCF_017821635.1;protein_1428,GCF_006337405.1;protein_76,GCF_002952635.1;protein_76,GCF_001653415.1;protein_1454,GCF_022923775.1;protein_82,GCF_017821475.1;protein_1425,GCF_002906535.1;protein_1425,GCF_051131785.1;protein_74,GCF_020735805.1;protein_418,GCF_013122035.1;protein_1542,GCF_002906555.1;protein_1425,GCF_030323485.1;protein_8,GCF_030062605.1;protein_14,GCF_022921575.1;protein_78,GCF_022925945.1;protein_108,GCF_017821595.1;protein_1454,GCF_002951975.1;protein_76,GCF_006337745.1;protein_73
GCF_002953555.1;protein_1432,GCF_010917155.1;protein_865,GCF_003050665.1;protein_863,GCF_019974055.1;protein_114,GCF_022923035.1;protein_88,GCF_022925215.1;protein_71,GCF_016748795.1;protein_1489,GCF_017821355.1;protein_1437,GCF_017821275.1;protein_1430,GCF_003636855.2;protein_315,GCF_030323385.1;protein_73,GCF_002952575.1;protein_74,GCF_017821635.1;protein_1426,GCF_006337405.1;protein_74,GCF_002952635.1;protein_74,GCF_001653415.1;protein_1452,GCF_022923775.1;protein_79,GCF_017821475.1;protein_1423,GCF_002906535.1;protein_1426,GCF_051131785.1;protein_71,GCF_020735805.1;protein_420,GCF_013122035.1;protein_72,GCF_002906555.1;protein_1426,GCF_030323485.1;protein_1478,GCF_030062605.1;protein_16,GCF_022921575.1;protein_75,GCF_022925945.1;protein_105,GCF_017821595.1;protein_1452,GCF_002951975.1;protein_74,GCF_006337745.1;protein_71
GCF_002953555.1;protein_1433,GCF_010917155.1;protein_866,GCF_003050665.1;protein_862,GCF_019974055.1;protein_113,GCF_022923035.1;protein_87,GCF_022925215.1;protein_70,GCF_016748795.1;protein_1488,GCF_017821355.1;protein_1436,GCF_017821275.1;protein_1429,GCF_003636855.2;protein_316,GCF_030323385.1;protein_72,GCF_002952575.1;protein_73,GCF_017821635.1;protein_1425,GCF_006337405.1;protein_73,GCF_002952635.1;protein_73,GCF_001653415.1;protein_1451,GCF_022923775.1;protein_78,GCF_017821475.1;protein_1422,GCF_002906535.1;protein_1427,GCF_051131785.1;protein_70,GCF_020735805.1;protein_421,GCF_013122035.1;protein_71,GCF_002906555.1;protein_1427,GCF_030323485.1;protein_1479,GCF_030062605.1;protein_17,GCF_022921575.1;protein_74,GCF_022925945.1;protein_104,GCF_017821595.1;protein_1451,GCF_002951975.1;protein_73,GCF_006337745.1;protein_70
GCF_002953555.1;protein_1434,GCF_010917155.1;protein_867,GCF_003050665.1;protein_861,GCF_019974055.1;protein_112,GCF_022923035.1;protein_86,GCF_022925215.1;protein_69,GCF_016748795.1;protein_1487,GCF_017821355.1;protein_1435,GCF_017821275.1;protein_1428,GCF_003636855.2;protein_317,GCF_030323385.1;protein_71,GCF_002952575.1;protein_72,GCF_017821635.1;protein_1424,GCF_006337405.1;protein_72,GCF_002952635.1;protein_72,GCF_001653415.1;protein_1450,GCF_022923775.1;protein_77,GCF_017821475.1;protein_1421,GCF_002906535.1;protein_1428,GCF_051131785.1;protein_69,GCF_020735805.1;protein_422,GCF_013122035.1;protein_70,GCF_002906555.1;protein_1428,GCF_030323485.1;protein_1480,GCF_030062605.1;protein_18,GCF_022921575.1;protein_73,GCF_022925945.1;protein_103,GCF_017821595.1;protein_1450,GCF_002951975.1;protein_72,GCF_006337745.1;protein_69
GCF_002953555.1;protein_1435,GCF_010917155.1;protein_868,GCF_003050665.1;protein_860,GCF_019974055.1;protein_111,GCF_022923035.1;protein_85,GCF_022925215.1;protein_68,GCF_016748795.1;protein_1486,GCF_017821355.1;protein_1434,GCF_017821275.1;protein_1427,GCF_003636855.2;protein_318,GCF_030323385.1;protein_70,GCF_002952575.1;protein_71,GCF_017821635.1;protein_1423,GCF_006337405.1;protein_71,GCF_002952635.1;protein_71,GCF_001653415.1;protein_1449,GCF_022923775.1;protein_76,GCF_017821475.1;protein_1420,GCF_002906535.1;protein_1429,GCF_051131785.1;protein_68,GCF_020735805.1;protein_423,GCF_013122035.1;protein_69,GCF_002906555.1;protein_1429,GCF_030323485.1;protein_1481,GCF_030062605.1;protein_19,GCF_022921575.1;protein_72,GCF_022925945.1;protein_102,GCF_017821595.1;protein_1449,GCF_002951975.1;protein_71,GCF_006337745.1;protein_68
GCF_002953555.1;protein_1436,GCF_010917155.1;protein_869,GCF_003050665.1;protein_859,GCF_019974055.1;protein_110,GCF_022923035.1;protein_84,GCF_022925215.1;protein_67,GCF_016748795.1;protein_1485,GCF_017821355.1;protein_1433,GCF_017821275.1;protein_1426,GCF_003636855.2;protein_319,GCF_030323385.1;protein_69,GCF_002952575.1;protein_70,GCF_017821635.1;protein_1422,GCF_006337405.1;protein_70,GCF_002952635.1;protein_70,GCF_001653415.1;protein_1448,GCF_022923775.1;protein_75,GCF_017821475.1;protein_1419,GCF_002906535.1;protein_1430,GCF_051131785.1;protein_67,GCF_020735805.1;protein_424,GCF_013122035.1;protein_68,GCF_002906555.1;protein_1430,GCF_030323485.1;protein_1482,GCF_030062605.1;protein_20,GCF_022921575.1;protein_71,GCF_022925945.1;protein_101,GCF_017821595.1;protein_1448,GCF_002951975.1;protein_70,GCF_006337745.1;protein_67
GCF_002953555.1;protein_1437,GCF_010917155.1;protein_870,GCF_003050665.1;protein_858,GCF_019974055.1;protein_109,GCF_022923035.1;protein_83,GCF_022925215.1;protein_66,GCF_016748795.1;protein_1484,GCF_017821355.1;protein_1432,GCF_017821275.1;protein_1425,GCF_003636855.2;protein_320,GCF_030323385.1;protein_68,GCF_002952575.1;protein_69,GCF_017821635.1;protein_1421,GCF_006337405.1;protein_69,GCF_002952635.1;protein_69,GCF_001653415.1;protein_1447,GCF_022923775.1;protein_74,GCF_017821475.1;protein_1418,GCF_002906535.1;protein_1431,GCF_051131785.1;protein_66,GCF_020735805.1;protein_425,GCF_013122035.1;protein_67,GCF_002906555.1;protein_1431,GCF_030323485.1;protein_1483,GCF_030062605.1;protein_21,GCF_022921575.1;protein_70,GCF_022925945.1;protein_100,GCF_017821595.1;protein_1447,GCF_002951975.1;protein_69,GCF_006337745.1;protein_66
GCF_002953555.1;protein_1438,GCF_010917155.1;protein_871,GCF_003050665.1;protein_857,GCF_019974055.1;protein_108,GCF_022923035.1;protein_82,GCF_022925215.1;protein_65,GCF_016748795.1;protein_1483,GCF_017821355.1;protein_1431,GCF_017821275.1;protein_1424,GCF_003636855.2;protein_321,GCF_030323385.1;protein_67,GCF_002952575.1;protein_68,GCF_017821635.1;protein_1420,GCF_006337405.1;protein_68,GCF_002952635.1;protein_68,GCF_001653415.1;protein_1446,GCF_022923775.1;protein_73,GCF_017821475.1;protein_1417,GCF_002906535.1;protein_1432,GCF_051131785.1;protein_65,GCF_020735805.1;protein_426,GCF_013122035.1;protein_66,GCF_002906555.1;protein_1432,GCF_030323485.1;protein_1484,GCF_030062605.1;protein_22,GCF_022921575.1;protein_69,GCF_022925945.1;protein_99,GCF_017821595.1;protein_1446,GCF_002951975.1;protein_68,GCF_006337745.1;protein_65
GCF_002953555.1;protein_1439,GCF_010917155.1;protein_872,GCF_003050665.1;protein_856,GCF_019974055.1;protein_107,GCF_022923035.1;protein_81,GCF_022925215.1;protein_64,GCF_016748795.1;protein_1482,GCF_017821355.1;protein_1430,GCF_017821275.1;protein_1423,GCF_003636855.2;protein_322,GCF_030323385.1;protein_66,GCF_002952575.1;protein_67,GCF_017821635.1;protein_1419,GCF_006337405.1;protein_67,GCF_002952635.1;protein_67,GCF_001653415.1;protein_1445,GCF_022923775.1;protein_72,GCF_017821475.1;protein_1416,GCF_002906535.1;protein_1433,GCF_051131785.1;protein_64,GCF_020735805.1;protein_427,GCF_013122035.1;protein_65,GCF_002906555.1;protein_1433,GCF_030323485.1;protein_1485,GCF_030062605.1;protein_23,GCF_022921575.1;protein_68,GCF_022925945.1;protein_98,GCF_017821595.1;protein_1445,GCF_002951975.1;protein_67,GCF_006337745.1;protein_64
GCF_002953555.1;protein_144,GCF_010917155.1;protein_76,GCF_003050665.1;protein_1121,GCF_019974055.1;protein_328,GCF_022923035.1;protein_1242,GCF_022925215.1;protein_1234,GCF_016748795.1;protein_143,GCF_017821355.1;protein_142,GCF_017821275.1;protein_141,GCF_003636855.2;protein_99,GCF_030323385.1;protein_295,GCF_002952575.1;protein_1295,GCF_017821635.1;protein_143,GCF_006337405.1;protein_1334,GCF_002952635.1;protein_1300,GCF_001653415.1;protein_197,GCF_022923775.1;protein_1301,GCF_017821475.1;protein_141,GCF_002906535.1;protein_143,GCF_051131785.1;protein_1305,GCF_020735805.1;protein_713,GCF_013122035.1;protein_323,GCF_002906555.1;protein_143,GCF_030323485.1;protein_1261,GCF_030062605.1;protein_568,GCF_022921575.1;protein_1272,GCF_022925945.1;protein_1280,GCF_017821595.1;protein_142,GCF_002951975.1;protein_1296,GCF_006337745.1;protein_1349
GCF_002953555.1;protein_1440,GCF_010917155.1;protein_873,GCF_003050665.1;protein_855,GCF_019974055.1;protein_106,GCF_022923035.1;protein_80,GCF_022925215.1;protein_63,GCF_016748795.1;protein_1481,GCF_017821355.1;protein_1429,GCF_017821275.1;protein_1422,GCF_003636855.2;protein_323,GCF_030323385.1;protein_65,GCF_002952575.1;protein_66,GCF_017821635.1;protein_1418,GCF_006337405.1;protein_66,GCF_002952635.1;protein_66,GCF_001653415.1;protein_1444,GCF_022923775.1;protein_67,GCF_017821475.1;protein_1415,GCF_002906535.1;protein_1434,GCF_051131785.1;protein_63,GCF_020735805.1;protein_428,GCF_013122035.1;protein_64,GCF_002906555.1;protein_1434,GCF_030323485.1;protein_1486,GCF_030062605.1;protein_24,GCF_022921575.1;protein_67,GCF_022925945.1;protein_97,GCF_017821595.1;protein_1444,GCF_002951975.1;protein_66,GCF_006337745.1;protein_63
GCF_002953555.1;protein_1441,GCF_010917155.1;protein_874,GCF_003050665.1;protein_854,GCF_019974055.1;protein_105,GCF_022923035.1;protein_79,GCF_022925215.1;protein_62,GCF_016748795.1;protein_1480,GCF_017821355.1;protein_1428,GCF_017821275.1;protein_1421,GCF_003636855.2;protein_324,GCF_030323385.1;protein_64,GCF_002952575.1;protein_65,GCF_017821635.1;protein_1417,GCF_006337405.1;protein_65,GCF_002952635.1;protein_65,GCF_001653415.1;protein_1443,GCF_022923775.1;protein_66,GCF_017821475.1;protein_1414,GCF_002906535.1;protein_1435,GCF_051131785.1;protein_62,GCF_020735805.1;protein_429,GCF_013122035.1;protein_63,GCF_002906555.1;protein_1435,GCF_030323485.1;protein_1487,GCF_030062605.1;protein_25,GCF_022921575.1;protein_66,GCF_022925945.1;protein_96,GCF_017821595.1;protein_1443,GCF_002951975.1;protein_65,GCF_006337745.1;protein_62
GCF_002953555.1;protein_1442,GCF_010917155.1;protein_875,GCF_003050665.1;protein_853,GCF_019974055.1;protein_104,GCF_022923035.1;protein_78,GCF_022925215.1;protein_61,GCF_016748795.1;protein_1479,GCF_017821355.1;protein_1427,GCF_017821275.1;protein_1420,GCF_003636855.2;protein_325,GCF_030323385.1;protein_63,GCF_002952575.1;protein_64,GCF_017821635.1;protein_1416,GCF_006337405.1;protein_64,GCF_002952635.1;protein_64,GCF_001653415.1;protein_1442,GCF_022923775.1;protein_65,GCF_017821475.1;protein_1413,GCF_002906535.1;protein_1436,GCF_051131785.1;protein_61,GCF_020735805.1;protein_430,GCF_013122035.1;protein_62,GCF_002906555.1;protein_1436,GCF_030323485.1;protein_1488,GCF_030062605.1;protein_26,GCF_022921575.1;protein_65,GCF_022925945.1;protein_95,GCF_017821595.1;protein_1442,GCF_002951975.1;protein_64,GCF_006337745.1;protein_61
GCF_002953555.1;protein_1443,GCF_010917155.1;protein_876,GCF_003050665.1;protein_852,GCF_019974055.1;protein_103,GCF_022923035.1;protein_77,GCF_022925215.1;protein_60,GCF_016748795.1;protein_1478,GCF_017821355.1;protein_1426,GCF_017821275.1;protein_1419,GCF_003636855.2;protein_326,GCF_030323385.1;protein_62,GCF_002952575.1;protein_63,GCF_017821635.1;protein_1415,GCF_006337405.1;protein_63,GCF_002952635.1;protein_63,GCF_001653415.1;protein_1441,GCF_022923775.1;protein_64,GCF_017821475.1;protein_1412,GCF_002906535.1;protein_1437,GCF_051131785.1;protein_60,GCF_020735805.1;protein_431,GCF_013122035.1;protein_61,GCF_002906555.1;protein_1437,GCF_030323485.1;protein_1489,GCF_030062605.1;protein_27,GCF_022921575.1;protein_64,GCF_022925945.1;protein_94,GCF_017821595.1;protein_1441,GCF_002951975.1;protein_63,GCF_006337745.1;protein_60
GCF_002953555.1;protein_1444,GCF_010917155.1;protein_877,GCF_003050665.1;protein_851,GCF_019974055.1;protein_102,GCF_022923035.1;protein_76,GCF_022925215.1;protein_59,GCF_016748795.1;protein_1477,GCF_017821355.1;protein_1425,GCF_017821275.1;protein_1418,GCF_003636855.2;protein_327,GCF_030323385.1;protein_61,GCF_002952575.1;protein_62,GCF_017821635.1;protein_1414,GCF_006337405.1;protein_62,GCF_002952635.1;protein_62,GCF_001653415.1;protein_1440,GCF_022923775.1;protein_63,GCF_017821475.1;protein_1411,GCF_002906535.1;protein_1438,GCF_051131785.1;protein_59,GCF_020735805.1;protein_432,GCF_013122035.1;protein_60,GCF_002906555.1;protein_1438,GCF_030323485.1;protein_1490,GCF_030062605.1;protein_28,GCF_022921575.1;protein_63,GCF_022925945.1;protein_93,GCF_017821595.1;protein_1440,GCF_002951975.1;protein_62,GCF_006337745.1;protein_59
GCF_002953555.1;protein_1445,GCF_010917155.1;protein_878,GCF_003050665.1;protein_850,GCF_019974055.1;protein_101,GCF_022923035.1;protein_75,GCF_022925215.1;protein_58,GCF_016748795.1;protein_1476,GCF_017821355.1;protein_1424,GCF_017821275.1;protein_1417,GCF_003636855.2;protein_328,GCF_030323385.1;protein_60,GCF_002952575.1;protein_61,GCF_017821635.1;protein_1413,GCF_006337405.1;protein_61,GCF_002952635.1;protein_61,GCF_001653415.1;protein_1439,GCF_022923775.1;protein_62,GCF_017821475.1;protein_1410,GCF_002906535.1;protein_1439,GCF_051131785.1;protein_58,GCF_020735805.1;protein_433,GCF_013122035.1;protein_59,GCF_002906555.1;protein_1439,GCF_030323485.1;protein_1491,GCF_030062605.1;protein_29,GCF_022921575.1;protein_62,GCF_022925945.1;protein_92,GCF_017821595.1;protein_1439,GCF_002951975.1;protein_61,GCF_006337745.1;protein_58
GCF_002953555.1;protein_1446,GCF_010917155.1;protein_879,GCF_003050665.1;protein_849,GCF_019974055.1;protein_100,GCF_022923035.1;protein_74,GCF_022925215.1;protein_57,GCF_016748795.1;protein_1475,GCF_017821355.1;protein_1423,GCF_017821275.1;protein_1416,GCF_003636855.2;protein_329,GCF_030323385.1;protein_59,GCF_002952575.1;protein_60,GCF_017821635.1;protein_1412,GCF_006337405.1;protein_60,GCF_002952635.1;protein_60,GCF_001653415.1;protein_1438,GCF_022923775.1;protein_61,GCF_017821475.1;protein_1409,GCF_002906535.1;protein_1440,GCF_051131785.1;protein_57,GCF_020735805.1;protein_434,GCF_013122035.1;protein_58,GCF_002906555.1;protein_1440,GCF_030323485.1;protein_1492,GCF_030062605.1;protein_30,GCF_022921575.1;protein_61,GCF_022925945.1;protein_91,GCF_017821595.1;protein_1438,GCF_002951975.1;protein_60,GCF_006337745.1;protein_57
GCF_002953555.1;protein_1447,GCF_010917155.1;protein_880,GCF_003050665.1;protein_848,GCF_019974055.1;protein_99,GCF_022923035.1;protein_73,GCF_022925215.1;protein_56,GCF_016748795.1;protein_1474,GCF_017821355.1;protein_1422,GCF_017821275.1;protein_1415,GCF_003636855.2;protein_330,GCF_030323385.1;protein_58,GCF_002952575.1;protein_59,GCF_017821635.1;protein_1411,GCF_006337405.1;protein_59,GCF_002952635.1;protein_59,GCF_001653415.1;protein_1437,GCF_022923775.1;protein_60,GCF_017821475.1;protein_1408,GCF_002906535.1;protein_1441,GCF_051131785.1;protein_56,GCF_020735805.1;protein_435,GCF_013122035.1;protein_57,GCF_002906555.1;protein_1441,GCF_030323485.1;protein_1493,GCF_030062605.1;protein_31,GCF_022921575.1;protein_60,GCF_022925945.1;protein_90,GCF_017821595.1;protein_1437,GCF_002951975.1;protein_59,GCF_006337745.1;protein_56
GCF_002953555.1;protein_1448,GCF_010917155.1;protein_881,GCF_003050665.1;protein_847,GCF_019974055.1;protein_98,GCF_022923035.1;protein_72,GCF_022925215.1;protein_55,GCF_016748795.1;protein_1473,GCF_017821355.1;protein_1421,GCF_017821275.1;protein_1414,GCF_003636855.2;protein_331,GCF_030323385.1;protein_57,GCF_002952575.1;protein_58,GCF_017821635.1;protein_1410,GCF_006337405.1;protein_58,GCF_002952635.1;protein_58,GCF_001653415.1;protein_1436,GCF_022923775.1;protein_59,GCF_017821475.1;protein_1407,GCF_002906535.1;protein_1442,GCF_051131785.1;protein_55,GCF_020735805.1;protein_436,GCF_013122035.1;protein_56,GCF_002906555.1;protein_1442,GCF_030323485.1;protein_1494,GCF_030062605.1;protein_32,GCF_022921575.1;protein_59,GCF_022925945.1;protein_89,GCF_017821595.1;protein_1436,GCF_002951975.1;protein_58,GCF_006337745.1;protein_55
GCF_002953555.1;protein_145,GCF_010917155.1;protein_75,GCF_003050665.1;protein_1122,GCF_019974055.1;protein_329,GCF_022923035.1;protein_1241,GCF_022925215.1;protein_1233,GCF_016748795.1;protein_144,GCF_017821355.1;protein_143,GCF_017821275.1;protein_142,GCF_003636855.2;protein_98,GCF_030323385.1;protein_296,GCF_002952575.1;protein_1294,GCF_017821635.1;protein_144,GCF_006337405.1;protein_1333,GCF_002952635.1;protein_1299,GCF_001653415.1;protein_198,GCF_022923775.1;protein_1300,GCF_017821475.1;protein_142,GCF_002906535.1;protein_144,GCF_051131785.1;protein_1304,GCF_020735805.1;protein_714,GCF_013122035.1;protein_324,GCF_002906555.1;protein_144,GCF_030323485.1;protein_1260,GCF_030062605.1;protein_567,GCF_022921575.1;protein_1271,GCF_022925945.1;protein_1279,GCF_017821595.1;protein_143,GCF_002951975.1;protein_1295,GCF_006337745.1;protein_1348
GCF_002953555.1;protein_1451,GCF_010917155.1;protein_884,GCF_003050665.1;protein_844,GCF_019974055.1;protein_95,GCF_022923035.1;protein_69,GCF_022925215.1;protein_52,GCF_016748795.1;protein_1469,GCF_017821355.1;protein_1417,GCF_017821275.1;protein_1411,GCF_003636855.2;protein_334,GCF_030323385.1;protein_54,GCF_002952575.1;protein_55,GCF_017821635.1;protein_1407,GCF_006337405.1;protein_54,GCF_002952635.1;protein_55,GCF_001653415.1;protein_1432,GCF_022923775.1;protein_53,GCF_017821475.1;protein_1404,GCF_002906535.1;protein_1445,GCF_051131785.1;protein_52,GCF_020735805.1;protein_439,GCF_013122035.1;protein_53,GCF_002906555.1;protein_1445,GCF_030323485.1;protein_1498,GCF_030062605.1;protein_35,GCF_022921575.1;protein_55,GCF_022925945.1;protein_86,GCF_017821595.1;protein_1433,GCF_002951975.1;protein_55,GCF_006337745.1;protein_52
