GCF_000027345.1;protein_0,GCF_900660465.1;protein_731,GCF_041931765.1;protein_77,GCF_002090215.1;protein_0,GCF_001558175.1;protein_0,GCF_002128145.1;protein_0,GCF_001272755.1;protein_0,,GCF_009945865.1;protein_0,GCF_002128285.1;protein_0,GCF_000319655.2;protein_0,GCF_002090295.1;protein_0,GCF_910574535.1;protein_0,GCF_040256845.1;protein_0,GCF_000319675.2;protein_0,GCF_041931565.1;protein_196,GCF_009942155.1;protein_0,GCF_009943805.1;protein_0,GCF_900660465.1;protein_736,GCF_002127985.1;protein_0,GCF_009947205.1;protein_0,GCF_900660465.1;protein_727,GCF_000283755.1;protein_0,GCF_009939765.1;protein_0,GCF_002355715.1;protein_0,GCF_000733995.1;protein_76,GCF_009944335.1;protein_0,GCF_002128265.1;protein_0,GCF_009944725.1;protein_0,GCF_001272775.1;protein_0,GCF_041931755.1;protein_77,GCF_009947575.1;protein_0,GCF_002128045.1;protein_0,,,,
GCF_910574535.1;protein_315,GCF_002128045.1;protein_316,GCF_000319675.2;protein_316,GCF_000027345.1;protein_318,GCF_000283755.1;protein_318,GCF_002127985.1;protein_316,GCF_009947205.1;protein_315,GCF_041931765.1;protein_396,GCF_040256845.1;protein_316,GCF_002128265.1;protein_318,GCF_041931565.1;protein_511,GCF_009944725.1;protein_318,GCF_002128145.1;protein_315,GCF_001558175.1;protein_319,GCF_009942155.1;protein_317,GCF_041931755.1;protein_396,GCF_001272775.1;protein_318,GCF_009939765.1;protein_317,GCF_002355715.1;protein_317,GCF_900660465.1;protein_411,GCF_002128285.1;protein_318,GCF_009944335.1;protein_316,GCF_001272755.1;protein_317,GCF_000733995.1;protein_393,GCF_002090215.1;protein_315,GCF_000319655.2;protein_318,GCF_009947575.1;protein_317,GCF_009945865.1;protein_319,GCF_009943805.1;protein_317,GCF_002090295.1;protein_316,,,,,,,
GCF_910574535.1;protein_316,GCF_002128045.1;protein_317,GCF_000319675.2;protein_317,GCF_000027345.1;protein_319,GCF_000283755.1;protein_319,GCF_002127985.1;protein_317,GCF_009947205.1;protein_316,GCF_041931765.1;protein_397,GCF_040256845.1;protein_317,GCF_002128265.1;protein_319,GCF_041931565.1;protein_512,GCF_009944725.1;protein_319,GCF_002128145.1;protein_316,GCF_001558175.1;protein_320,GCF_009942155.1;protein_318,GCF_041931755.1;protein_397,GCF_001272775.1;protein_319,GCF_009939765.1;protein_318,GCF_002355715.1;protein_318,GCF_900660465.1;protein_410,GCF_002128285.1;protein_319,GCF_009944335.1;protein_317,GCF_001272755.1;protein_318,GCF_000733995.1;protein_394,GCF_002090215.1;protein_316,GCF_000319655.2;protein_319,GCF_009947575.1;protein_318,GCF_009945865.1;protein_320,GCF_009943805.1;protein_318,GCF_002090295.1;protein_317,,,,,,,
GCF_910574535.1;protein_317,GCF_002128045.1;protein_318,GCF_000319675.2;protein_318,GCF_000027345.1;protein_320,GCF_000283755.1;protein_320,GCF_002127985.1;protein_318,GCF_009947205.1;protein_317,GCF_041931765.1;protein_398,GCF_040256845.1;protein_318,GCF_002128265.1;protein_320,GCF_041931565.1;protein_513,GCF_009944725.1;protein_320,GCF_002128145.1;protein_317,GCF_001558175.1;protein_321,GCF_009942155.1;protein_319,GCF_041931755.1;protein_398,GCF_001272775.1;protein_320,GCF_009939765.1;protein_319,GCF_002355715.1;protein_319,GCF_900660465.1;protein_409,GCF_002128285.1;protein_320,GCF_009944335.1;protein_318,GCF_001272755.1;protein_319,GCF_000733995.1;protein_395,GCF_002090215.1;protein_317,GCF_000319655.2;protein_320,GCF_009947575.1;protein_319,GCF_009945865.1;protein_321,GCF_009943805.1;protein_319,GCF_002090295.1;protein_318,,,,,,,
GCF_910574535.1;protein_318,GCF_002128045.1;protein_319,GCF_000319675.2;protein_319,GCF_000027345.1;protein_321,GCF_000283755.1;protein_321,GCF_002127985.1;protein_319,GCF_009947205.1;protein_318,GCF_041931765.1;protein_399,GCF_040256845.1;protein_319,GCF_002128265.1;protein_321,GCF_041931565.1;protein_514,GCF_009944725.1;protein_321,GCF_002128145.1;protein_318,GCF_001558175.1;protein_322,GCF_009942155.1;protein_320,GCF_041931755.1;protein_399,GCF_001272775.1;protein_321,GCF_009939765.1;protein_320,GCF_002355715.1;protein_320,GCF_900660465.1;protein_408,GCF_002128285.1;protein_321,GCF_009944335.1;protein_319,GCF_001272755.1;protein_320,GCF_000733995.1;protein_396,GCF_002090215.1;protein_318,GCF_000319655.2;protein_321,GCF_009947575.1;protein_320,GCF_009945865.1;protein_322,GCF_009943805.1;protein_320,GCF_002090295.1;protein_319,,,,,,,
GCF_910574535.1;protein_319,GCF_002128045.1;protein_320,GCF_000319675.2;protein_320,GCF_000027345.1;protein_322,GCF_000283755.1;protein_322,GCF_002127985.1;protein_320,GCF_009947205.1;protein_319,GCF_041931765.1;protein_400,GCF_040256845.1;protein_320,GCF_002128265.1;protein_322,GCF_041931565.1;protein_515,GCF_009944725.1;protein_322,GCF_002128145.1;protein_319,GCF_001558175.1;protein_323,GCF_009942155.1;protein_321,GCF_041931755.1;protein_400,GCF_001272775.1;protein_322,GCF_009939765.1;protein_321,GCF_002355715.1;protein_321,GCF_900660465.1;protein_407,GCF_002128285.1;protein_322,GCF_009944335.1;protein_320,GCF_001272755.1;protein_321,GCF_000733995.1;protein_397,GCF_002090215.1;protein_319,GCF_000319655.2;protein_322,GCF_009947575.1;protein_321,GCF_009945865.1;protein_323,GCF_009943805.1;protein_321,GCF_002090295.1;protein_320,,,,,,,
GCF_910574535.1;protein_32,GCF_002128045.1;protein_32,GCF_000319675.2;protein_32,GCF_000027345.1;protein_32,GCF_000283755.1;protein_32,GCF_002127985.1;protein_32,GCF_009947205.1;protein_32,GCF_041931765.1;protein_109,GCF_040256845.1;protein_32,GCF_002128265.1;protein_32,GCF_041931565.1;protein_228,GCF_009944725.1;protein_32,GCF_002128145.1;protein_32,GCF_001558175.1;protein_32,GCF_009942155.1;protein_32,GCF_041931755.1;protein_109,GCF_001272775.1;protein_32,GCF_009939765.1;protein_32,GCF_002355715.1;protein_32,GCF_900660465.1;protein_695,GCF_002128285.1;protein_32,GCF_009944335.1;protein_32,GCF_001272755.1;protein_32,GCF_000733995.1;protein_108,GCF_002090215.1;protein_32,GCF_000319655.2;protein_32,GCF_009947575.1;protein_32,GCF_009945865.1;protein_32,GCF_009943805.1;protein_32,GCF_002090295.1;protein_32,,,,,,,
GCF_910574535.1;protein_320,GCF_002128045.1;protein_321,GCF_000319675.2;protein_321,GCF_000027345.1;protein_323,GCF_000283755.1;protein_323,GCF_002127985.1;protein_321,GCF_009947205.1;protein_320,GCF_041931765.1;protein_401,GCF_040256845.1;protein_321,GCF_002128265.1;protein_323,GCF_041931565.1;protein_516,GCF_009944725.1;protein_323,GCF_002128145.1;protein_320,GCF_001558175.1;protein_324,GCF_009942155.1;protein_322,GCF_041931755.1;protein_401,GCF_001272775.1;protein_323,GCF_009939765.1;protein_322,GCF_002355715.1;protein_322,GCF_900660465.1;protein_406,GCF_002128285.1;protein_323,GCF_009944335.1;protein_321,GCF_001272755.1;protein_322,GCF_000733995.1;protein_398,GCF_002090215.1;protein_320,GCF_000319655.2;protein_323,GCF_009947575.1;protein_322,GCF_009945865.1;protein_324,GCF_009943805.1;protein_322,GCF_002090295.1;protein_321,,,,,,,
GCF_910574535.1;protein_321,GCF_002128045.1;protein_322,GCF_000319675.2;protein_322,GCF_000027345.1;protein_324,GCF_000283755.1;protein_324,GCF_002127985.1;protein_322,GCF_009947205.1;protein_321,GCF_041931765.1;protein_402,GCF_040256845.1;protein_322,GCF_002128265.1;protein_324,GCF_041931565.1;protein_517,GCF_009944725.1;protein_324,GCF_002128145.1;protein_321,GCF_001558175.1;protein_325,GCF_009942155.1;protein_323,GCF_041931755.1;protein_402,GCF_001272775.1;protein_324,GCF_009939765.1;protein_323,GCF_002355715.1;protein_323,GCF_900660465.1;protein_405,GCF_002128285.1;protein_324,GCF_009944335.1;protein_322,GCF_001272755.1;protein_323,GCF_000733995.1;protein_399,GCF_002090215.1;protein_321,GCF_000319655.2;protein_324,GCF_009947575.1;protein_323,GCF_009945865.1;protein_325,GCF_009943805.1;protein_323,GCF_002090295.1;protein_322,,,,,,,
GCF_910574535.1;protein_322,GCF_002128045.1;protein_323,GCF_000319675.2;protein_323,GCF_000027345.1;protein_325,GCF_000283755.1;protein_325,GCF_002127985.1;protein_323,GCF_009947205.1;protein_322,GCF_041931765.1;protein_403,GCF_040256845.1;protein_323,GCF_002128265.1;protein_325,GCF_041931565.1;protein_518,GCF_009944725.1;protein_325,GCF_002128145.1;protein_322,GCF_001558175.1;protein_326,GCF_009942155.1;protein_324,GCF_041931755.1;protein_403,GCF_001272775.1;protein_325,GCF_009939765.1;protein_324,GCF_002355715.1;protein_324,GCF_900660465.1;protein_404,GCF_002128285.1;protein_325,GCF_009944335.1;protein_323,GCF_001272755.1;protein_324,GCF_000733995.1;protein_400,GCF_002090215.1;protein_322,GCF_000319655.2;protein_325,GCF_009947575.1;protein_324,GCF_009945865.1;protein_326,GCF_009943805.1;protein_324,GCF_002090295.1;protein_323,,,,,,,
GCF_910574535.1;protein_323,GCF_002128045.1;protein_324,GCF_000319675.2;protein_324,GCF_000027345.1;protein_326,GCF_000283755.1;protein_326,GCF_002127985.1;protein_324,GCF_009947205.1;protein_323,GCF_041931765.1;protein_404,GCF_040256845.1;protein_324,GCF_002128265.1;protein_326,GCF_041931565.1;protein_519,GCF_009944725.1;protein_326,GCF_002128145.1;protein_323,GCF_001558175.1;protein_327,GCF_009942155.1;protein_325,GCF_041931755.1;protein_404,GCF_001272775.1;protein_326,GCF_009939765.1;protein_325,GCF_002355715.1;protein_325,GCF_900660465.1;protein_403,GCF_002128285.1;protein_326,GCF_009944335.1;protein_324,GCF_001272755.1;protein_325,GCF_000733995.1;protein_401,GCF_002090215.1;protein_323,GCF_000319655.2;protein_326,GCF_009947575.1;protein_325,GCF_009945865.1;protein_327,GCF_009943805.1;protein_325,GCF_002090295.1;protein_324,,,,,,,
GCF_910574535.1;protein_324,GCF_002128045.1;protein_325,GCF_000319675.2;protein_325,GCF_000027345.1;protein_327,GCF_000283755.1;protein_327,GCF_002127985.1;protein_325,GCF_009947205.1;protein_324,GCF_041931765.1;protein_405,GCF_040256845.1;protein_325,GCF_002128265.1;protein_327,GCF_041931565.1;protein_520,GCF_009944725.1;protein_327,GCF_002128145.1;protein_324,GCF_001558175.1;protein_328,GCF_009942155.1;protein_326,GCF_041931755.1;protein_405,GCF_001272775.1;protein_327,GCF_009939765.1;protein_326,GCF_002355715.1;protein_326,GCF_900660465.1;protein_402,GCF_002128285.1;protein_327,GCF_009944335.1;protein_325,GCF_001272755.1;protein_326,GCF_000733995.1;protein_402,GCF_002090215.1;protein_324,GCF_000319655.2;protein_327,GCF_009947575.1;protein_326,GCF_009945865.1;protein_328,GCF_009943805.1;protein_326,GCF_002090295.1;protein_325,,,,,,,
GCF_910574535.1;protein_325,GCF_002128045.1;protein_326,GCF_000319675.2;protein_326,GCF_000027345.1;protein_328,GCF_000283755.1;protein_328,GCF_002127985.1;protein_326,GCF_009947205.1;protein_325,GCF_041931765.1;protein_406,GCF_040256845.1;protein_326,GCF_002128265.1;protein_328,GCF_041931565.1;protein_521,GCF_009944725.1;protein_328,GCF_002128145.1;protein_325,GCF_001558175.1;protein_329,GCF_009942155.1;protein_327,GCF_041931755.1;protein_406,GCF_001272775.1;protein_328,GCF_009939765.1;protein_327,GCF_002355715.1;protein_327,GCF_900660465.1;protein_401,GCF_002128285.1;protein_328,GCF_009944335.1;protein_326,GCF_001272755.1;protein_327,GCF_000733995.1;protein_403,GCF_002090215.1;protein_325,GCF_000319655.2;protein_328,GCF_009947575.1;protein_327,GCF_009945865.1;protein_329,GCF_009943805.1;protein_327,GCF_002090295.1;protein_326,,,,,,,
GCF_910574535.1;protein_326,GCF_002128045.1;protein_327,GCF_000319675.2;protein_327,GCF_000027345.1;protein_329,,GCF_002127985.1;protein_327,GCF_009947205.1;protein_326,GCF_041931765.1;protein_407,GCF_040256845.1;protein_327,,GCF_041931565.1;protein_522,,GCF_002128145.1;protein_326,GCF_001558175.1;protein_330,,GCF_041931755.1;protein_407,GCF_001272775.1;protein_329,GCF_009939765.1;protein_328,,,,GCF_009944335.1;protein_327,GCF_001272755.1;protein_328,GCF_000733995.1;protein_404,GCF_002090215.1;protein_326,,GCF_009947575.1;protein_328,,GCF_009943805.1;protein_328,GCF_002090295.1;protein_327,,,,,,,
GCF_910574535.1;protein_327,GCF_002128045.1;protein_328,GCF_000319675.2;protein_328,GCF_000027345.1;protein_330,GCF_000283755.1;protein_330,GCF_002127985.1;protein_328,GCF_009947205.1;protein_327,GCF_041931765.1;protein_408,GCF_040256845.1;protein_328,GCF_002128265.1;protein_330,GCF_041931565.1;protein_523,GCF_009944725.1;protein_330,GCF_002128145.1;protein_327,GCF_001558175.1;protein_331,GCF_009942155.1;protein_329,GCF_041931755.1;protein_408,GCF_001272775.1;protein_330,GCF_009939765.1;protein_329,GCF_002355715.1;protein_329,GCF_900660465.1;protein_399,GCF_002128285.1;protein_330,GCF_009944335.1;protein_328,GCF_001272755.1;protein_329,GCF_000733995.1;protein_405,GCF_002090215.1;protein_327,GCF_000319655.2;protein_330,GCF_009947575.1;protein_329,GCF_009945865.1;protein_331,GCF_009943805.1;protein_329,GCF_002090295.1;protein_328,,,,,,,
GCF_910574535.1;protein_328,GCF_002128045.1;protein_329,GCF_000319675.2;protein_329,GCF_000027345.1;protein_331,GCF_000283755.1;protein_331,GCF_002127985.1;protein_329,GCF_009947205.1;protein_328,GCF_041931765.1;protein_409,GCF_040256845.1;protein_329,GCF_002128265.1;protein_331,GCF_041931565.1;protein_524,GCF_009944725.1;protein_331,GCF_002128145.1;protein_328,GCF_001558175.1;protein_332,GCF_009942155.1;protein_330,GCF_041931755.1;protein_409,GCF_001272775.1;protein_331,GCF_009939765.1;protein_330,GCF_002355715.1;protein_330,GCF_900660465.1;protein_398,GCF_002128285.1;protein_331,GCF_009944335.1;protein_329,GCF_001272755.1;protein_330,GCF_000733995.1;protein_406,GCF_002090215.1;protein_328,GCF_000319655.2;protein_331,GCF_009947575.1;protein_330,GCF_009945865.1;protein_332,GCF_009943805.1;protein_330,GCF_002090295.1;protein_329,,,,,,,
GCF_910574535.1;protein_329,GCF_002128045.1;protein_330,GCF_000319675.2;protein_330,GCF_000027345.1;protein_332,GCF_000283755.1;protein_332,GCF_002127985.1;protein_330,GCF_009947205.1;protein_329,GCF_041931765.1;protein_410,GCF_040256845.1;protein_330,GCF_002128265.1;protein_332,GCF_041931565.1;protein_525,GCF_009944725.1;protein_332,GCF_002128145.1;protein_329,GCF_001558175.1;protein_333,GCF_009942155.1;protein_331,GCF_041931755.1;protein_410,GCF_001272775.1;protein_332,GCF_009939765.1;protein_331,GCF_002355715.1;protein_331,GCF_900660465.1;protein_397,GCF_002128285.1;protein_332,GCF_009944335.1;protein_330,GCF_001272755.1;protein_331,GCF_000733995.1;protein_407,GCF_002090215.1;protein_329,GCF_000319655.2;protein_332,GCF_009947575.1;protein_331,GCF_009945865.1;protein_333,GCF_009943805.1;protein_331,GCF_002090295.1;protein_330,,,,,,,
GCF_910574535.1;protein_33,GCF_002128045.1;protein_33,GCF_000319675.2;protein_33,GCF_000027345.1;protein_33,GCF_000283755.1;protein_33,GCF_002127985.1;protein_33,GCF_009947205.1;protein_33,GCF_041931765.1;protein_110,GCF_040256845.1;protein_33,GCF_002128265.1;protein_33,GCF_041931565.1;protein_229,GCF_009944725.1;protein_33,GCF_002128145.1;protein_33,GCF_001558175.1;protein_33,GCF_009942155.1;protein_33,GCF_041931755.1;protein_110,GCF_001272775.1;protein_33,GCF_009939765.1;protein_33,GCF_002355715.1;protein_33,GCF_900660465.1;protein_694,GCF_002128285.1;protein_33,GCF_009944335.1;protein_33,GCF_001272755.1;protein_33,GCF_000733995.1;protein_109,GCF_002090215.1;protein_33,GCF_000319655.2;protein_33,GCF_009947575.1;protein_33,GCF_009945865.1;protein_33,GCF_009943805.1;protein_33,GCF_002090295.1;protein_33,,,,,,,
GCF_910574535.1;protein_330,GCF_002128045.1;protein_331,GCF_000319675.2;protein_331,GCF_000027345.1;protein_333,GCF_000283755.1;protein_333,GCF_002127985.1;protein_331,GCF_009947205.1;protein_330,GCF_041931765.1;protein_411,GCF_040256845.1;protein_331,GCF_002128265.1;protein_333,GCF_041931565.1;protein_526,GCF_009944725.1;protein_333,GCF_002128145.1;protein_330,GCF_001558175.1;protein_334,GCF_009942155.1;protein_332,GCF_041931755.1;protein_411,GCF_001272775.1;protein_333,GCF_009939765.1;protein_332,GCF_002355715.1;protein_332,GCF_900660465.1;protein_396,GCF_002128285.1;protein_333,GCF_009944335.1;protein_331,GCF_001272755.1;protein_332,GCF_000733995.1;protein_408,GCF_002090215.1;protein_330,GCF_000319655.2;protein_333,GCF_009947575.1;protein_332,GCF_009945865.1;protein_334,GCF_009943805.1;protein_332,GCF_002090295.1;protein_331,,,,,,,
GCF_910574535.1;protein_331,GCF_002128045.1;protein_332,GCF_000319675.2;protein_332,GCF_000027345.1;protein_334,GCF_000283755.1;protein_334,GCF_002127985.1;protein_332,GCF_009947205.1;protein_331,GCF_041931765.1;protein_412,GCF_040256845.1;protein_332,GCF_002128265.1;protein_334,GCF_041931565.1;protein_527,GCF_009944725.1;protein_334,GCF_002128145.1;protein_331,GCF_001558175.1;protein_335,GCF_009942155.1;protein_333,GCF_041931755.1;protein_412,GCF_001272775.1;protein_334,GCF_009939765.1;protein_333,GCF_002355715.1;protein_333,GCF_900660465.1;protein_395,GCF_002128285.1;protein_334,GCF_009944335.1;protein_332,GCF_001272755.1;protein_333,GCF_000733995.1;protein_409,GCF_002090215.1;protein_331,GCF_000319655.2;protein_334,GCF_009947575.1;protein_333,GCF_009945865.1;protein_335,GCF_009943805.1;protein_333,GCF_002090295.1;protein_332,,,,,,,
GCF_910574535.1;protein_332,GCF_002128045.1;protein_333,GCF_000319675.2;protein_333,GCF_000027345.1;protein_335,GCF_000283755.1;protein_335,GCF_002127985.1;protein_333,GCF_009947205.1;protein_332,GCF_041931765.1;protein_413,GCF_040256845.1;protein_333,GCF_002128265.1;protein_335,GCF_041931565.1;protein_528,GCF_009944725.1;protein_335,GCF_002128145.1;protein_332,GCF_001558175.1;protein_336,GCF_009942155.1;protein_334,GCF_041931755.1;protein_413,GCF_001272775.1;protein_335,GCF_009939765.1;protein_334,GCF_002355715.1;protein_334,GCF_900660465.1;protein_394,GCF_002128285.1;protein_335,GCF_009944335.1;protein_333,GCF_001272755.1;protein_334,GCF_000733995.1;protein_410,GCF_002090215.1;protein_332,GCF_000319655.2;protein_335,GCF_009947575.1;protein_334,GCF_009945865.1;protein_336,GCF_009943805.1;protein_334,GCF_002090295.1;protein_333,,,,,,,
GCF_910574535.1;protein_333,GCF_002128045.1;protein_334,GCF_000319675.2;protein_334,GCF_000027345.1;protein_336,GCF_000283755.1;protein_336,GCF_002127985.1;protein_334,GCF_009947205.1;protein_333,GCF_041931765.1;protein_414,GCF_040256845.1;protein_334,GCF_002128265.1;protein_336,GCF_041931565.1;protein_529,GCF_009944725.1;protein_336,GCF_002128145.1;protein_333,GCF_001558175.1;protein_337,GCF_009942155.1;protein_335,GCF_041931755.1;protein_414,GCF_001272775.1;protein_336,GCF_009939765.1;protein_335,GCF_002355715.1;protein_335,GCF_900660465.1;protein_393,GCF_002128285.1;protein_336,GCF_009944335.1;protein_334,GCF_001272755.1;protein_335,GCF_000733995.1;protein_411,GCF_002090215.1;protein_333,GCF_000319655.2;protein_336,GCF_009947575.1;protein_335,GCF_009945865.1;protein_337,GCF_009943805.1;protein_335,GCF_002090295.1;protein_334,,,,,,,
GCF_910574535.1;protein_334,GCF_002128045.1;protein_335,GCF_000319675.2;protein_335,GCF_000027345.1;protein_337,GCF_000283755.1;protein_337,GCF_002127985.1;protein_335,GCF_009947205.1;protein_334,GCF_041931765.1;protein_415,GCF_040256845.1;protein_335,GCF_002128265.1;protein_337,GCF_041931565.1;protein_530,GCF_009944725.1;protein_337,GCF_002128145.1;protein_334,GCF_001558175.1;protein_338,GCF_009942155.1;protein_336,GCF_041931755.1;protein_415,GCF_001272775.1;protein_337,GCF_009939765.1;protein_336,GCF_002355715.1;protein_336,GCF_900660465.1;protein_392,GCF_002128285.1;protein_337,GCF_009944335.1;protein_335,GCF_001272755.1;protein_336,GCF_000733995.1;protein_412,GCF_002090215.1;protein_334,GCF_000319655.2;protein_337,GCF_009947575.1;protein_336,GCF_009945865.1;protein_338,GCF_009943805.1;protein_336,GCF_002090295.1;protein_335,,,,,,,
GCF_910574535.1;protein_335,GCF_002128045.1;protein_336,GCF_000319675.2;protein_336,GCF_000027345.1;protein_338,GCF_000283755.1;protein_338,GCF_002127985.1;protein_336,GCF_009947205.1;protein_335,GCF_041931765.1;protein_416,GCF_040256845.1;protein_336,GCF_002128265.1;protein_338,GCF_041931565.1;protein_531,GCF_009944725.1;protein_338,GCF_002128145.1;protein_335,GCF_001558175.1;protein_339,GCF_009942155.1;protein_337,GCF_041931755.1;protein_416,GCF_001272775.1;protein_338,GCF_009939765.1;protein_337,GCF_002355715.1;protein_337,GCF_900660465.1;protein_391,GCF_002128285.1;protein_338,GCF_009944335.1;protein_336,GCF_001272755.1;protein_337,GCF_000733995.1;protein_413,GCF_002090215.1;protein_335,GCF_000319655.2;protein_338,GCF_009947575.1;protein_337,GCF_009945865.1;protein_339,GCF_009943805.1;protein_337,GCF_002090295.1;protein_336,,,,,,,
GCF_910574535.1;protein_336,GCF_002128045.1;protein_337,GCF_000319675.2;protein_337,GCF_000027345.1;protein_339,GCF_000283755.1;protein_339,GCF_002127985.1;protein_338,GCF_009947205.1;protein_336,GCF_041931765.1;protein_417,GCF_040256845.1;protein_337,GCF_002128265.1;protein_339,GCF_041931565.1;protein_532,GCF_009944725.1;protein_339,GCF_002128145.1;protein_336,GCF_001558175.1;protein_340,GCF_009942155.1;protein_338,GCF_041931755.1;protein_417,GCF_001272775.1;protein_339,GCF_009939765.1;protein_338,GCF_002355715.1;protein_338,GCF_900660465.1;protein_390,GCF_002128285.1;protein_339,GCF_009944335.1;protein_337,GCF_001272755.1;protein_338,GCF_000733995.1;protein_414,GCF_002090215.1;protein_336,GCF_000319655.2;protein_339,GCF_009947575.1;protein_338,GCF_009945865.1;protein_340,GCF_009943805.1;protein_338,GCF_002090295.1;protein_337,,,,,,,
GCF_910574535.1;protein_337,GCF_002128045.1;protein_338,GCF_000319675.2;protein_338,GCF_000027345.1;protein_340,GCF_000283755.1;protein_340,GCF_002127985.1;protein_339,GCF_009947205.1;protein_337,GCF_041931765.1;protein_418,GCF_040256845.1;protein_338,GCF_002128265.1;protein_340,GCF_041931565.1;protein_533,GCF_009944725.1;protein_340,GCF_002128145.1;protein_337,GCF_001558175.1;protein_341,GCF_009942155.1;protein_339,GCF_041931755.1;protein_418,GCF_001272775.1;protein_340,GCF_009939765.1;protein_339,GCF_002355715.1;protein_339,GCF_900660465.1;protein_389,GCF_002128285.1;protein_340,GCF_009944335.1;protein_338,GCF_001272755.1;protein_339,GCF_000733995.1;protein_415,GCF_002090215.1;protein_337,GCF_000319655.2;protein_340,GCF_009947575.1;protein_339,GCF_009945865.1;protein_341,GCF_009943805.1;protein_339,GCF_002090295.1;protein_338,,,,,,,
GCF_910574535.1;protein_338,GCF_002128045.1;protein_339,GCF_000319675.2;protein_339,GCF_000027345.1;protein_341,GCF_000283755.1;protein_341,GCF_002127985.1;protein_340,GCF_009947205.1;protein_338,GCF_041931765.1;protein_419,GCF_040256845.1;protein_339,GCF_002128265.1;protein_341,GCF_041931565.1;protein_534,GCF_009944725.1;protein_341,GCF_002128145.1;protein_338,GCF_001558175.1;protein_342,GCF_009942155.1;protein_340,GCF_041931755.1;protein_419,GCF_001272775.1;protein_341,GCF_009939765.1;protein_340,GCF_002355715.1;protein_340,GCF_900660465.1;protein_388,GCF_002128285.1;protein_341,GCF_009944335.1;protein_339,GCF_001272755.1;protein_340,GCF_000733995.1;protein_416,GCF_002090215.1;protein_338,GCF_000319655.2;protein_341,GCF_009947575.1;protein_340,GCF_009945865.1;protein_342,GCF_009943805.1;protein_340,GCF_002090295.1;protein_339,,,,,,,
GCF_910574535.1;protein_339,GCF_002128045.1;protein_340,GCF_000319675.2;protein_340,GCF_000027345.1;protein_342,GCF_000283755.1;protein_342,GCF_002127985.1;protein_341,GCF_009947205.1;protein_339,GCF_041931765.1;protein_420,GCF_040256845.1;protein_340,GCF_002128265.1;protein_342,GCF_041931565.1;protein_535,GCF_009944725.1;protein_342,GCF_002128145.1;protein_339,GCF_001558175.1;protein_343,GCF_009942155.1;protein_341,GCF_041931755.1;protein_420,GCF_001272775.1;protein_342,GCF_009939765.1;protein_341,GCF_002355715.1;protein_341,GCF_900660465.1;protein_387,GCF_002128285.1;protein_342,GCF_009944335.1;protein_340,GCF_001272755.1;protein_341,GCF_000733995.1;protein_417,GCF_002090215.1;protein_339,GCF_000319655.2;protein_342,GCF_009947575.1;protein_341,GCF_009945865.1;protein_343,GCF_009943805.1;protein_341,GCF_002090295.1;protein_340,,,,,,,
GCF_910574535.1;protein_34,GCF_002128045.1;protein_34,GCF_000319675.2;protein_34,GCF_000027345.1;protein_34,GCF_000283755.1;protein_34,GCF_002127985.1;protein_34,GCF_009947205.1;protein_34,GCF_041931765.1;protein_111,GCF_040256845.1;protein_34,GCF_002128265.1;protein_34,GCF_041931565.1;protein_230,GCF_009944725.1;protein_34,GCF_002128145.1;protein_34,GCF_001558175.1;protein_34,GCF_009942155.1;protein_34,GCF_041931755.1;protein_111,GCF_001272775.1;protein_34,GCF_009939765.1;protein_34,GCF_002355715.1;protein_34,GCF_900660465.1;protein_693,GCF_002128285.1;protein_34,GCF_009944335.1;protein_34,GCF_001272755.1;protein_34,GCF_000733995.1;protein_110,GCF_002090215.1;protein_34,GCF_000319655.2;protein_34,GCF_009947575.1;protein_34,GCF_009945865.1;protein_34,GCF_009943805.1;protein_34,GCF_002090295.1;protein_34,,,,,,,
GCF_910574535.1;protein_340,GCF_002128045.1;protein_341,GCF_000319675.2;protein_341,GCF_000027345.1;protein_343,GCF_000283755.1;protein_343,GCF_002127985.1;protein_342,GCF_009947205.1;protein_340,GCF_041931765.1;protein_421,GCF_040256845.1;protein_341,GCF_002128265.1;protein_343,GCF_041931565.1;protein_536,GCF_009944725.1;protein_343,GCF_002128145.1;protein_340,GCF_001558175.1;protein_344,GCF_009942155.1;protein_342,GCF_041931755.1;protein_421,GCF_001272775.1;protein_343,GCF_009939765.1;protein_342,GCF_002355715.1;protein_342,GCF_900660465.1;protein_386,GCF_002128285.1;protein_343,GCF_009944335.1;protein_341,GCF_001272755.1;protein_342,GCF_000733995.1;protein_418,GCF_002090215.1;protein_340,GCF_000319655.2;protein_343,GCF_009947575.1;protein_342,GCF_009945865.1;protein_344,GCF_009943805.1;protein_342,GCF_002090295.1;protein_341,,,,,,,
